MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2023-11-04,3316.294,Nigeria,6.448858,7.392609
2024-02-01,4978.144,Nigeria,6.448858,7.392609
2023-12-21,5045.292,Nigeria,6.448858,7.392609
2023-01-09,5935.335,Nigeria,9.076439,7.425385
2023-12-07,5911.021,Nigeria,9.076439,7.425385
2023-02-19,6776.421,Nigeria,6.448858,7.392609
2022-04-03,5492.29229948,Nigeria,9.076439,7.425385
2021-08-18,3647.06080633,Nigeria,9.076439,7.425385
2020-07-24,4193.44224233,Nigeria,9.076439,7.425385
2021-04-23,6579.94414879,Nigeria,9.076439,7.425385
2024-06-10,4555.351,Nigeria,9.076439,7.425385
2021-11-28,5568.29026712,Nigeria,9.076439,7.425385
2024-05-13,2906.651,Nigeria,9.076439,7.425385
2024-05-22,3888.674,Nigeria,6.448858,7.392609
2023-10-11,4754.097,Nigeria,6.448858,7.392609
2020-11-16,6464.23184445,Nigeria,9.076439,7.425385
2023-03-04,7133.62,Nigeria,6.448858,7.392609
2022-04-14,4705.55658392,Nigeria,9.076439,7.425385
2021-11-10,5824.72565459,Nigeria,9.076439,7.425385
2022-12-04,5623.35789061,Nigeria,9.076439,7.425385
2021-01-12,5321.9750069,Nigeria,9.076439,7.425385
2022-11-23,6412.43218203,Nigeria,9.076439,7.425385
2021-04-29,5966.93324542,Nigeria,9.076439,7.425385
2022-08-22,2608.4796,Nigeria,9.076439,7.425385
2023-11-05,3798.162,Nigeria,9.076439,7.425385
2022-03-25,5980.74587667,Nigeria,9.076439,7.425385
2024-06-19,5038.543,Nigeria,9.076439,7.425385
2023-06-05,4980.481,Nigeria,9.076439,7.425385
2024-02-27,6008.217,Nigeria,6.448858,7.392609
2021-01-10,6443.03089483,Nigeria,9.076439,7.425385
2022-01-09,4245.91372751,Nigeria,9.076439,7.425385
2023-03-21,545.796,Nigeria,6.448858,7.392609
2023-02-07,6354.81,Nigeria,9.076439,7.425385
2023-02-19,6512.609,Nigeria,9.076439,7.425385
2020-10-20,6416.58887162,Nigeria,9.076439,7.425385
2023-09-08,2840.672,Nigeria,6.448858,7.392609
2021-02-21,4933.11144525,Nigeria,9.076439,7.425385
2020-05-13,4726.07164683,Nigeria,9.076439,7.425385
2021-11-20,5763.61857224,Nigeria,9.076439,7.425385
2024-05-11,2657.894,Nigeria,6.448858,7.392609
2023-09-09,3655.55,Nigeria,9.076439,7.425385
2023-08-02,2102.994,Nigeria,6.448858,7.392609
2021-05-07,5317.72227625,Nigeria,9.076439,7.425385
2024-05-18,6008.545,Nigeria,9.076439,7.425385
2024-02-15,6112.229,Nigeria,9.076439,7.425385
2020-09-16,2499.17199252,Nigeria,9.076439,7.425385
2023-04-06,6480.643,Nigeria,9.076439,7.425385
2021-10-24,6219.41459893,Nigeria,9.076439,7.425385
2023-05-16,5010.936,Nigeria,9.076439,7.425385
2021-04-21,4745.27371229,Nigeria,9.076439,7.425385
2022-04-20,5920.37322285,Nigeria,9.076439,7.425385
2024-02-03,4927.836,Nigeria,6.448858,7.392609
2022-09-15,4115.97636471,Nigeria,9.076439,7.425385
2023-02-05,3647.04322593,Nigeria,6.448858,7.392609
2021-05-29,4360.57151928,Nigeria,9.076439,7.425385
2022-04-25,6618.91243192,Nigeria,9.076439,7.425385
2021-10-07,4438.055773,Nigeria,9.076439,7.425385
2022-09-28,5709.37147025,Nigeria,9.076439,7.425385
2023-12-25,6362.503,Nigeria,6.448858,7.392609
2023-06-16,5717.499,Nigeria,6.448858,7.392609
2020-06-01,2966.22656476,Nigeria,9.076439,7.425385
2022-10-16,6128.71986755,Nigeria,9.076439,7.425385
2022-01-08,4341.51703042,Nigeria,9.076439,7.425385
2021-04-26,4794.22448017,Nigeria,9.076439,7.425385
2023-09-14,4235.237,Nigeria,6.448858,7.392609
2020-03-22,0,Nigeria,9.076439,7.425385
2022-06-19,4008.26783317,Nigeria,9.076439,7.425385
2024-01-24,5256.836,Nigeria,9.076439,7.425385
2021-12-16,5634.61600107,Nigeria,9.076439,7.425385
2023-11-13,3480.309,Nigeria,9.076439,7.425385
2023-08-28,3817.507,Nigeria,6.448858,7.392609
2023-11-04,3427.397,Nigeria,9.076439,7.425385
2021-11-13,6117.53162541,Nigeria,9.076439,7.425385
2023-10-22,6209.424,Nigeria,9.076439,7.425385
2021-07-16,2766.12906075,Nigeria,9.076439,7.425385
