# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-01-27T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 3.1072
# Longitude (positive East, ISO 19115): 43.6372
# Altitude (m): 454.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-03-21T00:00:00.0/2024-03-22T00:00:00.0;10477.7080;8037.8828;7020.7944;1017.0883;9801.3115;8037.8828;7020.7944;1017.0883;9801.3115;0.9896
2024-03-22T00:00:00.0/2024-03-23T00:00:00.0;10477.0889;7862.7949;6642.9800;1219.8152;9102.3223;7426.9268;5636.1138;1790.8131;7723.6655;0.9896
2024-03-23T00:00:00.0/2024-03-24T00:00:00.0;10476.0020;7889.7583;6864.8628;1024.8951;9507.3555;7664.4399;6292.2271;1372.2130;8546.9102;0.9892
2024-03-24T00:00:00.0/2024-03-25T00:00:00.0;10474.2969;7838.0308;6609.4463;1228.5846;9095.5635;7540.5459;6011.2183;1529.3276;8013.9126;0.9896
2024-03-25T00:00:00.0/2024-03-26T00:00:00.0;10472.1699;7726.7852;6158.3550;1568.4299;8248.4795;7664.8350;6097.9028;1566.9319;8030.0015;0.9892
2024-03-26T00:00:00.0/2024-03-27T00:00:00.0;10469.4941;7791.3311;6357.3022;1434.0288;8580.3389;7422.1445;5939.8091;1482.3351;7486.1611;0.9892
2024-03-27T00:00:00.0/2024-03-28T00:00:00.0;10466.2900;7825.4302;6581.3623;1244.0679;9003.6123;7713.6074;6361.1108;1352.4962;8616.0137;0.9892
2024-03-28T00:00:00.0/2024-03-29T00:00:00.0;10462.6328;7758.8569;6482.2407;1276.6163;8904.9170;5975.6802;3062.1077;2913.5725;4328.7676;0.9889
2024-03-29T00:00:00.0/2024-03-30T00:00:00.0;10458.3955;7714.4058;6211.9937;1502.4122;8446.4658;7452.3101;5777.6963;1674.6138;7550.5630;0.9892
2024-03-30T00:00:00.0/2024-03-31T00:00:00.0;10453.6992;7743.7139;6145.5640;1598.1500;8253.8398;7300.8198;5174.9800;2125.8396;6865.1377;0.9892
2024-03-31T00:00:00.0/2024-04-01T00:00:00.0;10448.5840;7636.8828;6021.6196;1615.2629;8069.8574;6187.3848;2415.4885;3771.8962;3375.3557;0.9889
2024-04-01T00:00:00.0/2024-04-02T00:00:00.0;10442.9238;7670.2476;6311.3994;1358.8485;8634.4209;6264.4595;3584.9309;2679.5286;5186.9922;0.9889
2024-04-02T00:00:00.0/2024-04-03T00:00:00.0;10436.7900;7636.1982;6308.4009;1327.7974;8737.8994;6016.1685;3824.5925;2191.5759;4935.4990;0.9889
2024-04-03T00:00:00.0/2024-04-04T00:00:00.0;10430.2168;7589.7446;6173.9561;1415.7886;8339.7314;4301.9146;1821.2430;2480.6716;2066.3650;0.9889
2024-04-04T00:00:00.0/2024-04-05T00:00:00.0;10423.1709;7531.7520;5654.2803;1877.4720;7615.5513;6055.3218;2866.3506;3188.9712;3705.7192;0.9889
2024-04-05T00:00:00.0/2024-04-06T00:00:00.0;10415.7344;7664.7480;6388.6216;1276.1266;8797.6221;6355.1206;4024.5759;2330.5447;5151.3491;0.9885
2024-04-06T00:00:00.0/2024-04-07T00:00:00.0;10407.8076;7725.9502;6572.6934;1153.2570;9128.1025;6500.3320;4024.9805;2475.3516;5555.1353;0.9833
2024-04-07T00:00:00.0/2024-04-08T00:00:00.0;10399.3926;7657.3423;6323.0176;1334.3252;8658.4551;6807.7417;4375.2612;2432.4802;5589.7520;0.9264
2024-04-08T00:00:00.0/2024-04-09T00:00:00.0;10390.6895;7630.7520;6325.3096;1305.4420;8689.5459;6104.2939;3193.0146;2911.2795;4230.3574;0.9885
2024-04-09T00:00:00.0/2024-04-10T00:00:00.0;10381.5186;7596.8716;6075.4067;1521.4646;8381.3330;6283.9487;3733.1318;2550.8169;5015.6943;0.9885
2024-04-10T00:00:00.0/2024-04-11T00:00:00.0;10371.9883;7613.7080;6197.1934;1416.5145;8540.2744;7168.2212;5358.6211;1809.6001;7113.7168;0.9882
2024-04-11T00:00:00.0/2024-04-12T00:00:00.0;10362.0420;7535.2700;5826.7520;1708.5177;7922.1631;5650.8647;2442.8972;3207.9673;3567.6182;0.9882
2024-04-12T00:00:00.0/2024-04-13T00:00:00.0;10351.7090;7559.5225;5946.5176;1613.0052;8078.1895;5931.5039;3117.8975;2813.6064;4847.5952;0.9882
2024-04-13T00:00:00.0/2024-04-14T00:00:00.0;10341.0205;7637.6040;6351.2676;1286.3367;8796.0498;6363.6138;4318.3867;2045.2271;6685.5679;0.9882
2024-04-14T00:00:00.0/2024-04-15T00:00:00.0;10330.0029;7603.4062;6218.0439;1385.3621;8547.8965;6924.8750;4782.7451;2142.1299;6143.2715;0.9882
2024-04-15T00:00:00.0/2024-04-16T00:00:00.0;10318.6367;7601.9243;6236.3901;1365.5344;8583.8271;4626.7842;1212.7357;3414.0486;1450.7505;0.9882
2024-04-16T00:00:00.0/2024-04-17T00:00:00.0;10306.9883;7615.5024;6408.5020;1207.0005;8925.4336;5036.4189;1638.8198;3397.5991;2430.6426;0.9878
2024-04-17T00:00:00.0/2024-04-18T00:00:00.0;10295.0000;7630.4878;6588.5713;1041.9166;9259.5693;7520.7183;6304.4185;1216.2994;8876.1387;0.9878
2024-04-18T00:00:00.0/2024-04-19T00:00:00.0;10282.7061;7557.4028;6415.7944;1141.6088;8934.6348;4679.7778;1779.3207;2900.4568;1903.7146;0.9878
2024-04-19T00:00:00.0/2024-04-20T00:00:00.0;10270.0781;7531.5425;6355.7349;1175.8075;8880.5146;6819.6396;5059.6367;1760.0028;6992.8418;0.9885
2024-04-20T00:00:00.0/2024-04-21T00:00:00.0;10257.2998;7568.9048;6443.4688;1125.4359;9001.4932;6364.3511;4207.3438;2157.0073;5499.2070;0.9882
2024-04-21T00:00:00.0/2024-04-22T00:00:00.0;10244.2188;7456.6909;6030.4360;1426.2551;8313.5020;1939.9470;13.2450;1926.7019;54.6731;0.9882
2024-04-22T00:00:00.0/2024-04-23T00:00:00.0;10230.8916;7479.9717;6233.3135;1246.6581;8776.1475;6962.1338;5046.1611;1915.9725;6877.1050;0.9882
2024-04-23T00:00:00.0/2024-04-24T00:00:00.0;10217.3848;7445.1626;6227.8735;1217.2889;8641.0693;4556.0557;1481.6138;3074.4421;2093.4014;0.9878
2024-04-24T00:00:00.0/2024-04-25T00:00:00.0;10203.6357;7312.3677;5302.0557;2010.3120;7234.5454;5661.7651;2459.7393;3202.0261;2963.2009;0.9878
2024-04-25T00:00:00.0/2024-04-26T00:00:00.0;10189.6875;7284.4058;5178.3828;2106.0232;6976.7754;4677.8931;2066.8904;2611.0029;2447.3208;0.9878
2024-04-26T00:00:00.0/2024-04-27T00:00:00.0;10175.5557;7406.7578;6169.2031;1237.5548;8649.4297;2040.7462;50.2459;1990.5004;115.7370;0.9878
