DIM_SITE_ID,MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
18074720362286236858,2021-05-16,5753.5275,Ghana,5.645686,0.008678
6002857824960866008,2024-06-09,3985.275,Ghana,-0.235111,5.632167
18074720362286236858,2021-05-31,4367.99333333,Ghana,5.645686,0.008678
10173608244938908903,2022-12-29,4361.442,Ghana,5.645759,-0.105223
18074720362286236858,2021-03-07,4429.990125,Ghana,5.645686,0.008678
10173608244938908903,2019-10-21,5769.70833333,Ghana,5.645759,-0.105223
18074720362286236858,2021-03-08,5458.01583333,Ghana,5.645686,0.008678
10173608244938908903,2020-11-03,5461.29166667,Ghana,5.645759,-0.105223
18074720362286236858,2021-05-05,4834.06166667,Ghana,5.645686,0.008678
18074720362286236858,2021-05-25,6103.6775,Ghana,5.645686,0.008678
18074720362286236858,2023-01-30,4650.52166667,Ghana,5.645686,0.008678
10173608244938908903,2024-01-31,2148.375,Ghana,5.645759,-0.105223
6002857824960866008,2024-07-05,3806.148,Ghana,-0.235111,5.632167
10173608244938908903,2021-09-10,4508.66666667,Ghana,5.645759,-0.105223
18074720362286236858,2021-02-06,5019.24791667,Ghana,5.645686,0.008678
6002857824960866008,2024-03-06,4515.315,Ghana,-0.235111,5.632167
6002857824960866008,2022-06-28,5052.3805,Ghana,-0.235111,5.632167
6002857824960866008,2023-02-13,4458.348,Ghana,-0.235111,5.632167
10173608244938908903,2019-05-02,0,Ghana,5.645759,-0.105223
10173608244938908903,2021-04-22,4980.41666667,Ghana,5.645759,-0.105223
10173608244938908903,2020-05-27,4769,Ghana,5.645759,-0.105223
18074720362286236858,2021-06-17,5408.6825,Ghana,5.645686,0.008678
18074720362286236858,2023-10-02,5966.02416667,Ghana,5.645686,0.008678
6002857824960866008,2024-06-06,4708.228,Ghana,-0.235111,5.632167
6002857824960866008,2022-09-18,2903.109,Ghana,-0.235111,5.632167
6002857824960866008,2024-07-04,3300.244,Ghana,-0.235111,5.632167
6002857824960866008,2023-08-19,2290.748,Ghana,-0.235111,5.632167
18074720362286236858,2022-01-30,4158.77083333,Ghana,5.645686,0.008678
10173608244938908903,2022-09-03,5190.81616667,Ghana,5.645759,-0.105223
10173608244938908903,2020-12-04,5720.5,Ghana,5.645759,-0.105223
10173608244938908903,2020-04-26,340.25,Ghana,5.645759,-0.105223
10173608244938908903,2021-11-29,5045.04166667,Ghana,5.645759,-0.105223
6002857824960866008,2023-08-09,1962.974,Ghana,-0.235111,5.632167
6002857824960866008,2023-05-21,5679.976,Ghana,-0.235111,5.632167
10173608244938908903,2020-09-08,3028.95833333,Ghana,5.645759,-0.105223
10173608244938908903,2022-12-08,4574.98866667,Ghana,5.645759,-0.105223
18074720362286236858,2022-02-08,3971.66416667,Ghana,5.645686,0.008678
10173608244938908903,2021-09-18,5401.375,Ghana,5.645759,-0.105223
18074720362286236858,2023-03-20,6455.26166667,Ghana,5.645686,0.008678
10173608244938908903,2023-12-13,5343.71,Ghana,5.645759,-0.105223
18074720362286236858,2021-06-30,3923.70833333,Ghana,5.645686,0.008678
18074720362286236858,2022-01-23,3996.70416667,Ghana,5.645686,0.008678
10173608244938908903,2021-08-21,4343.83333333,Ghana,5.645759,-0.105223
10173608244938908903,2023-03-26,6007.901,Ghana,5.645759,-0.105223
10173608244938908903,2020-03-31,6177.41666667,Ghana,5.645759,-0.105223
18074720362286236858,2022-04-13,4171.00833333,Ghana,5.645686,0.008678
10173608244938908903,2023-06-13,6319.773,Ghana,5.645759,-0.105223
10173608244938908903,2023-12-09,4874.314,Ghana,5.645759,-0.105223
6002857824960866008,2022-08-31,3668.22116667,Ghana,-0.235111,5.632167
18074720362286236858,2023-12-08,4462.747,Ghana,5.645686,0.008678
10173608244938908903,2022-12-15,4532.56075,Ghana,5.645759,-0.105223
10173608244938908903,2020-03-15,6570.625,Ghana,5.645759,-0.105223
18074720362286236858,2023-11-11,6172.40833333,Ghana,5.645686,0.008678
