,58,200,12.86,0,0,-.385
102,2010,69,2100,13.05,0,0,-.292
102,2010,69,2200,12.96,0,0,-.303
102,2010,69,2300,12.9,0,0,-.275
101,2010,69,2400,12.77,6356.1,0
102,2010,69,2400,12.85,0,0,-.297
102,2010,70,100,12.82,0,0,-.259
102,2010,70,200,12.81,0,0,-.253
102,2010,70,300,12.79,0,0,-.215
102,2010,70,400,12.78,0,0,-.237
102,2010,70,500,12.78,0,0,-.231
102,2010,70,600,12.77,0,0,-.297
102,2010,70,700,12.77,0,0,-.242
102,2010,70,800,12.76,57.54,0,-.292
102,2010,70,900,13.41,218.12,0,-.27
102,2010,70,1000,12.87,313.43,0,-.259
102,2010,70,1100,13.7,381.58,0,-.281
102,2010,70,1200,13.68,476.72,0,-.248
102,2010,70,1300,13.02,514.19,0,-.319
102,2010,70,1400,13.66,664.41,0,-.27
102,2010,70,1500,13.64,997,0,-.27
102,2010,70,1600,13.63,1338.2,0,-.242
102,2010,70,1700,13.63,1217.6,0,-.231
102,2010,70,1800,13.55,748.26,0,-.297
102,2010,70,1900,13.51,249.57,0,-.319
102,2010,70,2000,13.38,9.4157,0,-.242
102,2010,70,2100,13.66,0,0,-.187
102,2010,70,2200,13.67,0,0,-.176
102,2010,70,2300,13.68,0,0,-.242
101,2010,70,2400,12.76,7186.1,0
102,2010,70,2400,13.7,0,0,-.22
102,2010,71,100,13.7,0,0,-.226
102,2010,71,200,13.71,0,0,-.242
102,2010,71,300,13.72,0,0,-.187
102,2010,71,400,13.73,0,0,-.198
102,2010,71,500,13.74,0,0,-.209
102,2010,71,600,13.75,0,0,-.226
102,2010,71,700,13.76,0,0,-.264
102,2010,71,800,13.77,72.035,0,-.27
102,2010,71,900,13.77,271.39,0,-.264
102,2010,71,1000,13.75,404.46,0,-.286
102,2010,71,1100,13.7,470.01,0,-.259
102,2010,71,1200,13.43,479.55,0,-.297
102,2010,71,1300,13.25,497.95,0,-.292
102,2010,71,1400,13.67,513,0,-.215
102,2010,71,1500,13.66,613.68,0,-.231
102,2010,71,1600,13.65,1718.4,0,-.226
102,2010,71,1700,13.63,2267.1,0,-.209
102,2010,71,1800,13.41,1394.4,0,-.264
102,2010,71,1900,13.27,461.96,0,-.242
102,2010,71,2000,13.64,8.8029,0,-.193
102,2010,71,2100,13.65,0,0,-.231
102,2010,71,2200,13.67,0,0,-.215
102,2010,71,2300,13.68,0,0,-.226
101,2010,71,2400,13.25,9172.8,0
102,2010,71,2400,13.7,0,0,-.209
102,2010,72,100,13.7,0,0,-.204
102,2010,72,200,13.72,0,0,-.22
102,2010,72,300,13.72,0,0,-.248
102,2010,72,400,13.74,0,0,-.215
102,2010,72,500,13.75,0,0,-.198
102,2010,72,600,13.75,0,0,-.198
102,2010,72,700,13.75,0,0,-.22
102,2010,72,800,13.76,112.29,0,-.226
102,2010,72,900,13.77,446.62,0,-.204
102,2010,72,1000,13.76,590.91,0,-.242
102,2010,72,1100,13.73,765.98,0,-.286
102,2010,72,1200,13.71,967.57,0,-.303
102,2010,72,1300,13.68,948.61,0,-.297
102,2010,72,1400,13.66,1045.2,0,-.264
102,2010,72,1500,13.65,1287.4,0,-.275
102,2010,72,1600,13.63,1952.6,0,-.248
102,2010,72,1700,13.57,1654,0,-.27
102,2010,72,1800,13.38,1017.4,0,-.242
102,2010,72,1900,13.63,359.24,0,-.226
102,2010,72,2000,13.65,13.516,0,-.248
102,2010,72,2100,13.65,0,0,-.248
102,2010,72,2200,13.67,0,0,-.204
102,2010,72,2300,13.68,0,0,-.237
101,2010,72,2400,13.38,11161,0
102,2010,72,2400,13.7,0,0,-.198
102,2010,73,100,13.7,0,0,-.226
102,2010,73,200,13.72,0,0,-.187
102,2010,73,300,13.73,0,0,-.226
102,2010,73,400,13.75,0,0,-.226
102,2010,73,500,13.75,0,0,-.22
102,2010,73,600,13.76,0,0,-.242
102,2010,73,700,13.76,0,0,-.226
102,2010,73,800,13.77,76.519,0,-.204
102,2010,73,900,13.77,284.17,0,-.237
102,2010,73,1000,13.75,394.92,0,-.27
102,2010,73,1100,13.72,469.07,0,-.314
102,2010,73,1200,13.7,523.45,0,-.319
102,2010,73,1300,13.68,555.9,0,-.292
102,2010,73,1400,13.65,598.9,0,-.303
102,2010,73,1500,13.5,1114.4,0,-.297
102,2010,73,1600,13.49,2484.7,0,-.264
102,2010,73,1700,13.63,2232.4,0,-.341
102,2010,73,1800,13.62,1370.6,0,-.275
102,2010,73,1900,13.62,414.58,0,-.231
102,2010,73,2000,13.63,9.9334,0,-.226
102,2010,73,2100,13.65,0,0,-.215
102,2010,73,2200,13.66,0,0,-.198
102,2010,73,2300,13.67,0,0,-.209
101,2010,73,2400,13.49,10530,0
102,2010,73,2400,13.68,0,0,-.248
102,2010,74,100,13.69,0,0,-.182
102,2010,74,200,13.71,0,0,-.226
102,2010,74,300,13.72,0,0,-.248
102,2010,74,400,13.73,0,0,-.231
102,2010,74,500,13.74,0,0,-.226
102,2010,74,600,13.75,0,0,-.231
102,2010,74,700,13.76,0,0,-.215
102,2010,74,800,13.77,93.549,0,-.182
102,2010,74,900,13.76,366.47,0,-.22
102,2010,74,1000,13.75,559.86,0,-.264
102,2010,74,1100,13.72,689.6,0,-.275
102,2010,74,1200,13.7,774.47,0,-.275
102,2010,74,1300,13.66,879.41,0,-.286
102,2010,74,1400,13.65,1144.6,0,-.242
102,2010,74,1500,13.64,1746.3,0,-.248
102,2010,74,1600,13.64,1955.3,0,-.242
102,2010,74,1700,13.63,1420.5,0,-.237
102,2010,74,1800,13.63,818.33,0,-.275
102,2010,74,1900,13.64,287.48,0,-.259
102,2010,74,2000,13.64,8.937,0,-.242
102,2010,74,2100,13.66,0,0,-.226
102,2010,74,2200,13.67,0,0,-.209
102,2010,74,2300,13.68,0,0,-.237
101,2010,74,2400,13.63,10745,0
102,2010,74,2400,13.69,0,0,-.259
102,2010,75,100,13.7,0,0,-.149
102,2010,75,200,13.71,0,0,-.22
102,2010,75,300,13.72,0,0,-.209
102,2010,75,400,13.72,0,0,-.22
102,2010,75,500,13.72,0,0,-.237
102,2010,75,600,13.73,0,0,-.231
102,2010,75,700,13.74,0,0,-.253
102,2010,75,800,13.75,115.86,0,-.27
102,2010,75,900,13.75,389.28,0,-.215
102,2010,75,1000,13.74,606.09,0,-.297
102,2010,75,1100,13.72,615.96,0,-.281
102,2010,75,1200,13.69,810.26,0,-.303
102,2010,75,1300,13.66,1209.5,0,-.242
102,2010,75,1400,13.65,1451.5,0,-.248
102,2010,75,1500,13.63,1760.8,0,-.27
102,2010,75,1600,13.63,2380.3,0,-.226
102,2010,75,1700,13.61,1871.2,0,-.248
102,2010,75,1800,13.61,1355,0,-.264
102,2010,75,1900,13.61,289.48,0,-.253
102,2010,75,2000,13.63,5.2685,0,-.226
102,2010,75,2100,13.63,.00958,0,-.253
102,2010,75,2200,13.65,0,0,-.226
102,2010,75,2300,13.65,0,0,-.253
101,2010,75,2400,13.61,12860,0
102,2010,75,2400,13.67,0,0,-.297
102,2010,76,100,13.68,0,0,-.297
102,2010,76,200,13.69,0,0,-.292
102,2010,76,300,13.7,0,0,-.264
102,2010,76,400,13.7,0,0,-.27
102,2010,76,500,13.71,0,0,-.242
102,2010,76,600,13.72,0,0,-.292
102,2010,76,700,13.73,0,0,-.242
102,2010,76,800,13.73,94.832,0,-.264
102,2010,76,900,13.73,432.35,0,-.259
102,2010,76,1000,13.72,617.77,0,-.303
102,2010,76,1100,13.7,831.99,0,-.237
102,2010,76,1200,13.69,1004.5,0,-.248
102,2010,76,1300,13.66,1011.5,0,-.242
102,2010,76,1400,13.65,1423.8,0,-.248
102,2010,76,1500,13.64,1893.8,0,-.22
102,2010,76,1600,13.63,2677.2,0,-.248
102,2010,76,1700,13.62,2016.8,0,-.248
102,2010,76,1800,13.61,1343.4,0,-.237
102,2010,76,1900,13.61,264.62,0,-.27
102,2010,76,2000,13.62,6.4371,0,-.248
102,2010,76,2100,13.63,0,0,-.237
102,2010,76,2200,13.65,0,0,-.204
102,2010,76,2300,13.66,0,0,-.193
101,2010,76,2400,13.61,13619,0
102,2010,76,2400,13.67,0,0,-.259
102,2010,77,100,13.68,0,0,-.231
102,2010,77,200,13.69,0,0,-.259
102,2010,77,300,13.69,0,0,-.248
