MEASURE_DATE,MEASURE_VALUE,SITE_COUNTRY,SITE_LATITUDE,SITE_LONGITUDE
2024-10-29,6346.742,Somalia,3.107191,43.637153
2024-11-03,6281.804,Somalia,3.107191,43.637153
2024-11-04,5116.197,Somalia,3.107191,43.637153
2024-11-21,4761.321,Somalia,3.107191,43.637153
2024-09-10,4418.878,Somalia,3.107191,43.637153
2024-09-08,5147.484,Somalia,3.107191,43.637153
2024-09-11,5969.539,Somalia,3.107191,43.637153
2024-09-12,5794.652,Somalia,3.107191,43.637153
2024-09-06,5900.642,Somalia,3.107191,43.637153
2024-09-09,6799.566,Somalia,3.107191,43.637153
2024-09-07,6087.636,Somalia,3.107191,43.637153
2024-09-22,2689.666,Somalia,3.107191,43.637153
2024-05-11,6551.327,Somalia,3.107191,43.637153
2024-03-06,6311.563,Somalia,3.107191,43.637153
2024-07-05,5890.629,Somalia,3.107191,43.637153
2024-03-03,7227.127,Somalia,3.107191,43.637153
2024-05-19,5667.729,Somalia,3.107191,43.637153
2024-06-23,3539.287,Somalia,3.107191,43.637153
2024-02-09,7047.562,Somalia,3.107191,43.637153
2024-06-08,4376.75,Somalia,3.107191,43.637153
2024-06-11,4564.939,Somalia,3.107191,43.637153
2024-05-12,7147.167,Somalia,3.107191,43.637153
2024-06-14,6378.477,Somalia,3.107191,43.637153
2024-02-17,7233.169,Somalia,3.107191,43.637153
2024-07-03,5312.019,Somalia,3.107191,43.637153
2024-02-13,7084.4,Somalia,3.107191,43.637153
2024-05-09,5240.914,Somalia,3.107191,43.637153
2024-02-24,6973.18,Somalia,3.107191,43.637153
2024-05-24,4179.681,Somalia,3.107191,43.637153
2024-01-28,5550.759,Somalia,3.107191,43.637153
2024-02-15,7189.395,Somalia,3.107191,43.637153
2024-02-28,7141.998,Somalia,3.107191,43.637153
2024-06-10,5618.018,Somalia,3.107191,43.637153
2024-02-23,6452.308,Somalia,3.107191,43.637153
2024-05-14,6768.936,Somalia,3.107191,43.637153
2024-06-26,5178.788,Somalia,3.107191,43.637153
2024-05-21,4705.63,Somalia,3.107191,43.637153
2024-02-12,6964.142,Somalia,3.107191,43.637153
2024-05-08,4839.535,Somalia,3.107191,43.637153
2024-05-27,1419.465,Somalia,3.107191,43.637153
2024-02-21,7395.704,Somalia,3.107191,43.637153
2024-05-10,5820.576,Somalia,3.107191,43.637153
2024-05-13,6305.111,Somalia,3.107191,43.637153
2024-07-04,4341.034,Somalia,3.107191,43.637153
2024-02-10,7029.894,Somalia,3.107191,43.637153
2024-02-11,7074.545,Somalia,3.107191,43.637153
2024-05-22,5808.492,Somalia,3.107191,43.637153
2024-06-21,5107.69,Somalia,3.107191,43.637153
2024-02-05,6380.438,Somalia,3.107191,43.637153
2024-02-25,6781.879,Somalia,3.107191,43.637153
2024-05-17,6737.211,Somalia,3.107191,43.637153
2024-03-07,6464.619,Somalia,3.107191,43.637153
2024-02-04,6444.199,Somalia,3.107191,43.637153
2024-06-09,5255.596,Somalia,3.107191,43.637153
2024-06-03,6352.001,Somalia,3.107191,43.637153
2024-02-19,6410.547,Somalia,3.107191,43.637153
2024-05-28,5545.081,Somalia,3.107191,43.637153
2024-02-02,6353.845,Somalia,3.107191,43.637153
2024-05-15,6364.049,Somalia,3.107191,43.637153
2024-06-16,5734.784,Somalia,3.107191,43.637153
2024-06-29,6729.135,Somalia,3.107191,43.637153
2024-06-28,4536.731,Somalia,3.107191,43.637153
2024-05-20,5842.483,Somalia,3.107191,43.637153
2024-09-14,5417.096,Somalia,3.107191,43.637153
2024-09-15,6476.656,Somalia,3.107191,43.637153
2024-09-13,7255.177,Somalia,3.107191,43.637153
2024-10-03,3942.317,Somalia,3.107191,43.637153
2024-10-10,7121.395,Somalia,3.107191,43.637153
2024-10-14,6028.674,Somalia,3.107191,43.637153
2024-10-19,6271.055,Somalia,3.107191,43.637153
2024-10-31,5855.954,Somalia,3.107191,43.637153
2024-10-25,5106.999,Somalia,3.107191,43.637153
2024-09-23,4064.089,Somalia,3.107191,43.637153
2024-09-25,7076.068,Somalia,3.107191,43.637153
2024-09-26,6210.95,Somalia,3.107191,43.637153
2024-09-30,6269.526,Somalia,3.107191,43.637153
2024-10-11,6221.696,Somalia,3.107191,43.637153
2024-10-15,5068.123,Somalia,3.107191,43.637153
2024-10-18,6780.148,Somalia,3.107191,43.637153
2024-10-21,3127.33,Somalia,3.107191,43.637153
2024-11-01,5970.686,Somalia,3.107191,43.637153
2024-11-09,5428.421,Somalia,3.107191,43.637153
2024-11-06,5732.253,Somalia,3.107191,43.637153
