time,G(i),H_sun,T2m,WS10m,Int
20050111:0009,0.0,0.0,6.23,6.28,0.0
20050111:0109,0.0,0.0,6.06,6.21,0.0
20050111:0209,0.0,0.0,5.89,6.34,0.0
20050111:0309,0.0,0.0,5.69,6.55,0.0
20050111:0409,0.0,0.0,5.4,6.48,0.0
20050111:0509,0.0,0.0,5.09,5.93,0.0
20050111:0609,287.59,15.01,6.15,5.66,0.0
20050111:0709,524.88,23.14,8.4,5.45,0.0
20050111:0809,696.11,29.02,10.09,7.1,0.0
20050111:0909,798.05,31.96,11.0,7.1,0.0
20050111:1009,820.93,31.51,11.63,6.28,0.0
20050111:1109,739.18,27.74,11.95,5.66,0.0
20050111:1209,545.04,21.2,11.98,5.17,0.0
20050111:1309,347.27,12.61,11.57,4.41,0.0
20050111:1409,89.06,2.59,10.15,3.31,0.0
20050111:1509,0.0,0.0,8.15,3.1,0.0
20050111:1609,0.0,0.0,6.77,3.03,0.0
20050111:1709,0.0,0.0,5.67,2.97,0.0
20050111:1809,0.0,0.0,4.76,2.9,0.0
20050111:1909,0.0,0.0,4.33,2.76,0.0
20050111:2009,0.0,0.0,3.71,2.62,0.0
20050111:2109,0.0,0.0,3.05,2.48,0.0
20050111:2209,0.0,0.0,2.49,2.41,0.0
20050111:2309,0.0,0.0,2.0,2.34,0.0
20050112:0009,0.0,0.0,1.5,2.14,0.0
20050112:0109,0.0,0.0,0.93,1.86,0.0
20050112:0209,0.0,0.0,0.51,1.66,0.0
20050112:0309,0.0,0.0,0.38,1.45,0.0
20050112:0409,0.0,0.0,0.65,1.17,0.0
20050112:0509,0.0,0.0,0.74,1.1,0.0
20050112:0609,313.76,15.08,2.21,0.69,0.0
20050112:0709,530.86,23.23,5.34,1.24,0.0
20050112:0809,716.63,29.14,7.84,1.52,0.0
20050112:0909,799.45,32.11,9.86,2.0,0.0
20050112:1009,823.42,31.68,11.36,2.55,0.0
20050112:1109,720.57,27.92,12.24,2.69,0.0
20050112:1209,627.45,21.39,12.6,2.76,0.0
20050112:1309,399.97,12.79,12.53,2.55,0.0
20050112:1409,70.6,2.77,11.57,2.0,0.0
20050112:1509,0.0,0.0,9.94,2.41,0.0
20050112:1609,0.0,0.0,8.28,2.48,0.0
20050112:1709,0.0,0.0,7.04,2.48,0.0
20050112:1809,0.0,0.0,6.05,2.48,0.0
20050112:1909,0.0,0.0,5.27,2.48,0.0
20050112:2009,0.0,0.0,4.53,2.34,0.0
20050112:2109,0.0,0.0,3.88,2.28,0.0
20050112:2209,0.0,0.0,3.24,2.07,0.0
20050112:2309,0.0,0.0,2.62,1.86,0.0
20050113:0009,0.0,0.0,2.17,1.66,0.0
20050113:0109,0.0,0.0,2.04,1.45,0.0
20050113:0209,0.0,0.0,2.01,1.38,0.0
20050113:0309,0.0,0.0,2.0,1.31,0.0
20050113:0409,0.0,0.0,2.11,1.17,0.0
20050113:0509,0.0,0.0,2.45,0.97,0.0
20050113:0609,314.71,15.15,3.83,0.55,0.0
20050113:0709,553.88,23.32,6.23,0.48,0.0
20050113:0809,725.58,29.27,8.61,0.41,0.0
20050113:0909,825.03,32.27,10.49,0.14,0.0
20050113:1009,857.27,31.86,11.76,0.21,0.0
20050113:1109,814.33,28.11,12.63,0.41,0.0
20050113:1209,636.3,21.57,13.07,0.62,0.0
20050113:1309,454.35,12.97,13.08,0.9,0.0
20050113:1409,120.99,2.94,12.55,1.17,0.0
20050113:1509,0.0,0.0,11.03,1.72,0.0
20050113:1609,0.0,0.0,9.25,2.14,0.0
20050113:1709,0.0,0.0,7.78,2.34,0.0
20050113:1809,0.0,0.0,6.66,2.48,0.0
20050113:1909,0.0,0.0,5.78,2.34,0.0
20050113:2009,0.0,0.0,4.99,2.28,0.0
20050113:2109,0.0,0.0,4.28,2.21,0.0
20050113:2209,0.0,0.0,3.6,2.14,0.0
20050113:2309,0.0,0.0,3.04,2.14,0.0
20050114:0009,0.0,0.0,2.63,2.21,0.0
20050114:0109,0.0,0.0,2.27,2.28,0.0
20050114:0209,0.0,0.0,2.0,2.41,0.0
20050114:0309,0.0,0.0,1.84,2.48,0.0
20050114:0409,0.0,0.0,1.73,2.48,0.0
20050114:0509,0.0,0.0,1.7,2.41,0.0
20050114:0609,293.45,15.22,3.6,2.07,0.0
20050114:0709,533.22,23.43,6.65,3.03,0.0
20050114:0809,727.0,29.41,8.88,3.45,0.0
20050114:0909,826.09,32.44,10.52,3.72,0.0
20050114:1009,859.38,32.05,11.66,3.93,0.0
20050114:1109,768.59,28.3,12.32,4.0,0.0
20050114:1209,614.4,21.76,12.47,4.14,0.0
20050114:1309,513.55,13.16,12.06,4.21,0.0
20050114:1409,62.55,3.12,10.74,3.59,0.0
20050114:1509,0.0,0.0,8.76,3.59,0.0
20050114:1609,0.0,0.0,7.52,3.52,0.0
20050114:1709,0.0,0.0,6.62,3.45,0.0
20050114:1809,0.0,0.0,6.02,3.45,0.0
20050114:1909,0.0,0.0,5.61,3.59,0.0
20050114:2009,0.0,0.0,5.17,3.52,0.0
20050114:2109,0.0,0.0,4.84,3.45,0.0
20050114:2209,0.0,0.0,4.53,3.31,0.0
20050114:2309,0.0,0.0,4.4,3.17,0.0
20050115:0009,0.0,0.0,4.07,3.17,0.0
20050115:0109,0.0,0.0,3.82,3.24,0.0
20050115:0209,0.0,0.0,3.59,3.24,0.0
20050115:0309,0.0,0.0,3.4,3.38,0.0
20050115:0409,0.0,0.0,3.22,3.45,0.0
20050115:0509,0.0,0.0,3.28,3.59,0.0
20050115:0609,252.42,15.31,4.22,3.59,0.0
20050115:0709,179.35,23.54,5.88,4.83,0.0
20050115:0809,304.13,29.55,7.49,5.31,0.0
20050115:0909,269.59,32.61,8.74,5.52,0.0
20050115:1009,257.08,32.24,9.44,5.59,0.0
20050115:1109,223.56,28.5,10.06,5.66,0.0
20050115:1209,524.93,21.96,10.28,5.59,0.0
20050115:1309,360.71,13.35,10.0,5.17,0.0
20050115:1409,29.15,3.3,9.05,4.0,0.0
20050115:1509,0.0,0.0,7.56,3.72,0.0
20050115:1609,0.0,0.0,6.41,3.52,0.0
20050115:1709,0.0,0.0,5.55,3.38,0.0
20050115:1809,0.0,0.0,4.84,3.31,0.0
20050115:1909,0.0,0.0,4.59,3.31,0.0
20050115:2009,0.0,0.0,4.2,3.38,0.0
20050115:2109,0.0,0.0,3.79,3.17,0.0
20050115:2209,0.0,0.0,3.38,3.03,0.0
20050115:2309,0.0,0.0,3.0,3.1,0.0
20050116:0009,0.0,0.0,2.67,3.17,0.0
20050116:0109,0.0,0.0,2.42,3.24,0.0
20050116:0209,0.0,0.0,2.14,3.38,0.0
20050116:0309,0.0,0.0,1.96,3.45,0.0
20050116:0409,0.0,0.0,1.82,3.45,0.0
20050116:0509,0.0,0.0,1.83,3.45,0.0
20050116:0609,132.84,15.4,3.45,3.38,0.0
20050116:0709,398.08,23.66,6.39,4.28,0.0
20050116:0809,652.75,29.7,8.46,4.69,0.0
20050116:0909,796.05,32.78,10.19,4.9,0.0
20050116:1009,848.92,32.43,11.37,5.1,0.0
20050116:1109,808.57,28.7,11.93,5.24,0.0
20050116:1209,702.4,22.16,12.17,5.24,0.0
20050116:1309,504.71,13.54,11.88,5.03,0.0
20050116:1409,121.21,3.48,10.8,3.93,0.0
20050116:1509,0.0,0.0,8.98,3.59,0.0
20050116:1609,0.0,0.0,7.75,3.45,0.0
20050116:1709,0.0,0.0,6.84,3.45,0.0
20050116:1809,0.0,0.0,6.11,3.52,0.0
20050116:1909,0.0,0.0,5.4,3.45,0.0
20050116:2009,0.0,0.0,4.89,3.38,0.0
20050116:2109,0.0,0.0,4.41,3.24,0.0
20050116:2209,0.0,0.0,3.95,3.1,0.0
20050116:2309,0.0,0.0,3.49,2.9,0.0
20050117:0009,0.0,0.0,3.03,2.83,0.0
20050117:0109,0.0,0.0,2.61,2.69,0.0
20050117:0209,0.0,0.0,2.17,2.62,0.0
20050117:0309,0.0,0.0,1.81,2.55,0.0
20050117:0409,0.0,0.0,1.43,2.48,0.0
20050117:0509,0.0,0.0,1.2,2.34,0.0
20050117:0609,237.86,15.49,2.92,1.93,0.0
20050117:0709,482.44,23.78,6.38,2.28,0.0
20050117:0809,596.46,29.85,8.72,2.55,0.0
20050117:0909,632.15,32.97,10.52,2.62,0.0
20050117:1009,882.73,32.64,11.55,2.48,0.0
20050117:1109,839.44,28.91,12.42,2.69,0.0
20050117:1209,751.9,22.37,12.71,2.76,0.0
20050117:1309,394.46,13.74,12.67,2.62,0.0
