time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050111:1406,98.82,0,140,0,25.54,23.36,0.55,0
20050111:1506,58.91,0,90,0,11.77,22.99,1.17,0
20050111:1606,0,0,0,0,-2.14,22.43,0.48,0
20050111:1706,0,0,0,0,0,21.5,0.62,0
20050111:1806,0,0,0,0,0,20.47,1.38,0
20050111:1906,0,0,0,0,0,20.82,2.28,0
20050111:2006,0,0,0,0,0,20.62,2.21,0
20050111:2106,0,0,0,0,0,21.12,1.03,0
20050111:2206,0,0,0,0,0,21.96,0.28,0
20050111:2306,0,0,0,0,0,20.81,0.9,0
20050112:0006,0,0,0,0,0,19.11,1.45,0
20050112:0106,0,0,0,0,0,19.34,1.79,0
20050112:0206,0,0,0,0,0,19.11,1.86,0
20050112:0306,0,0,0,0,0,19.22,2.14,0
20050112:0406,0,0,0,0,0,19.13,1.72,0
20050112:0506,3.29,0,13,0,15.71,19.46,0.69,0
20050112:0606,58.39,0,89,0,29.44,21.6,0.07,0
20050112:0706,227.38,0,298,0,42.72,22.46,1.03,0
20050112:0806,179.97,0,239,0,54.99,23.62,2.34,0
20050112:0906,334.27,0,434,0,64.65,24.88,3.03,0
20050112:1006,119.46,0,166,0,67.92,25.56,3.17,0
20050112:1106,94,0,135,0,62.41,26.22,3.03,0
20050112:1206,92.03,0,133,0,51.75,26.84,2.62,0
20050112:1306,93.47,0,135,0,39.11,27.1,2.41,0
20050112:1406,128.92,0,179,0,25.66,26.94,2.48,0
20050112:1506,62.83,0,96,0,11.87,26.09,2.34,0
20050112:1606,0,0,0,0,-2.05,25.01,2.55,0
20050112:1706,0,0,0,0,0,23.91,2.34,0
20050112:1806,0,0,0,0,0,22.78,1.79,0
20050112:1906,0,0,0,0,0,21.81,2,0
20050112:2006,0,0,0,0,0,21.45,2.14,0
20050112:2106,0,0,0,0,0,21.19,2,0
20050112:2206,0,0,0,0,0,20.7,1.66,0
20050112:2306,0,0,0,0,0,19.82,1.52,0
20050113:0006,0,0,0,0,0,19.84,2.21,0
20050113:0106,0,0,0,0,0,19.63,1.93,0
20050113:0206,0,0,0,0,0,19.65,0.69,0
20050113:0306,0,0,0,0,0,18.53,0.97,0
20050113:0406,0,0,0,0,0,18.88,1.24,0
20050113:0506,10.55,0,25,0,15.65,19.94,1.66,0
20050113:0606,96.88,0,136,0,29.39,21.23,1.52,0
20050113:0706,225.18,0,297,0,42.7,22.63,0.28,0
20050113:0806,250.67,0,330,0,55.02,24.25,1.1,0
20050113:0906,153.92,0,209,0,64.75,25.24,1.66,0
20050113:1006,151.01,0,206,0,68.09,25.84,1.59,0
20050113:1106,267.89,0,356,0,62.59,26.34,0.97,0
20050113:1206,300.72,0,402,0,51.91,26.58,0.34,0
20050113:1306,93.57,0,135,0,39.24,26.19,0.97,0
20050113:1406,85.57,0,124,0,25.78,25.06,2.48,0
20050113:1506,57.07,0,88,0,11.97,24.28,2.55,0
20050113:1606,0,0,0,0,-1.97,23.15,2.76,0
20050113:1706,0,0,0,0,0,22.32,2.28,0
20050113:1806,0,0,0,0,0,21.75,2.07,0
20050113:1906,0,0,0,0,0,21.42,1.86,0
20050113:2006,0,0,0,0,0,20.89,1.79,0
20050113:2106,0,0,0,0,0,20.4,1.66,0
20050113:2206,0,0,0,0,0,20.25,1.72,0
20050113:2306,0,0,0,0,0,19.98,1.79,0
20050114:0006,0,0,0,0,0,19.72,1.66,0
20050114:0106,0,0,0,0,0,19.61,1.45,0
20050114:0206,0,0,0,0,0,19.2,1.1,0
20050114:0306,0,0,0,0,0,19.08,1.66,0
20050114:0406,0,0,0,0,0,18.79,1.24,0
20050114:0506,2.77,0,12,0,15.58,19.03,1.17,0
20050114:0606,41.51,0,67,0,29.35,19.9,0.9,0
20050114:0706,32.21,0,55,0,42.69,20.09,1.72,0
20050114:0806,91.34,0,129,0,55.05,20.82,1.59,0
20050114:0906,64.14,0,96,0,64.85,21.51,0.97,0
20050114:1006,249.83,0,328,0,68.27,22.11,0.14,0
20050114:1106,98.27,0,139,0,62.78,22.73,0.41,0
20050114:1206,328.42,0,428,0,52.08,22.87,1.1,0
20050114:1306,194.39,0,256,0,39.38,23.13,2.55,0
20050114:1406,87.2,0,124,0,25.9,21.21,2.28,0
20050114:1506,57.88,0,88,0,12.07,21.15,1.38,0
20050114:1606,0,0,0,0,-1.89,21.12,0.62,0
20050114:1706,0,0,0,0,0,20.39,0.55,0
20050114:1806,0,0,0,0,0,19.55,0.83,0
20050114:1906,0,0,0,0,0,18.97,1.38,0
20050114:2006,0,0,0,0,0,18.69,1.45,0
20050114:2106,0,0,0,0,0,18.31,1.66,0
20050114:2206,0,0,0,0,0,18.52,1.45,0
20050114:2306,0,0,0,0,0,18.81,1.24,0
20050115:0006,0,0,0,0,0,19.88,0.9,0
20050115:0106,0,0,0,0,0,20.39,0.69,0
20050115:0206,0,0,0,0,0,19.93,0.83,0
20050115:0306,0,0,0,0,0,18.63,1.1,0
20050115:0406,0,0,0,0,0,18.03,1.45,0
20050115:0506,35.34,0,59,0,15.52,19.56,0.76,0
20050115:0606,38.12,0,63,0,29.31,21.22,0.9,0
20050115:0706,159.01,0,212,0,42.68,22.15,2.14,0
20050115:0806,307.14,0,396,0,55.08,22.46,2.34,0
20050115:0906,308.86,0,398,0,64.96,22.36,2.34,0
20050115:1006,178.16,0,234,0,68.46,21.3,2.76,0
20050115:1106,325.41,0,417,0,62.97,21.23,2.28,0
20050115:1206,286.44,0,370,0,52.24,22.58,2.34,0
20050115:1306,130.66,0,178,0,39.52,22.97,2.48,0
20050115:1406,190.18,0,251,0,26.01,23.12,2.34,0
20050115:1506,91.23,0,130,0,12.17,22.77,1.38,0
20050115:1606,0,0,0,0,-1.8,22.14,0.83,0
20050115:1706,0,0,0,0,0,21.2,0.69,0
20050115:1806,0,0,0,0,0,20.09,1.03,0
20050115:1906,0,0,0,0,0,19.02,1.59,0
20050115:2006,0,0,0,0,0,18.55,1.72,0
20050115:2106,0,0,0,0,0,18.52,1.79,0
20050115:2206,0,0,0,0,0,18.5,1.93,0
20050115:2306,0,0,0,0,0,18.36,1.72,0
20050116:0006,0,0,0,0,0,19.43,1.17,0
20050116:0106,0,0,0,0,0,20.55,0.76,0
20050116:0206,0,0,0,0,0,19.18,1.17,0
20050116:0306,0,0,0,0,0,17.79,1.93,0
20050116:0406,0,0,0,0,0,18.41,2.48,0
20050116:0506,45.46,0,72,0,15.46,20.13,2.07,0
20050116:0606,89.99,0,128,0,29.27,22.33,2.34,0
20050116:0706,112.63,0,156,0,42.67,23.16,2.97,0
20050116:0806,130.28,0,178,0,55.12,23.81,2.97,0
20050116:0906,148.55,0,200,0,65.07,23.61,3.24,0
20050116:1006,170.12,0,225,0,68.65,22.32,3.24,0
20050116:1106,363.03,0,469,0,63.17,23.25,2.55,0
20050116:1206,130.26,0,178,0,52.4,23.8,2.9,0
20050116:1306,227.45,0,298,0,39.66,24.12,2.69,0
20050116:1406,192.62,0,255,0,26.13,24.03,2.41,0
20050116:1506,96.49,0,137,0,12.27,23.77,1.59,0
20050116:1606,0,0,0,0,-1.72,22.93,1.1,0
20050116:1706,0,0,0,0,0,21.51,1.31,0
20050116:1806,0,0,0,0,0,20.44,1.66,0
20050116:1906,0,0,0,0,0,20.48,2.34,0
20050116:2006,0,0,0,0,0,20.53,2.55,0
20050116:2106,0,0,0,0,0,20.48,2.48,0
20050116:2206,0,0,0,0,0,20.3,2.14,0
20050116:2306,0,0,0,0,0,19.71,1.86,0
