# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2023-09-01T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 29.8876
# Longitude (positive East, ISO 19115): 32.4604
# Altitude (m): 0.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2023-11-12T00:00:00.0/2023-11-13T00:00:00.0;6397.0815;4092.8816;2333.4241;1759.4575;4400.2349;2734.6143;590.5994;2144.0149;1116.0321;0.9826
2023-11-13T00:00:00.0/2023-11-14T00:00:00.0;6354.2412;4256.2676;2868.3127;1387.9550;5515.2104;4256.2676;2868.3127;1387.9550;5515.2104;0.9830
2023-11-14T00:00:00.0/2023-11-15T00:00:00.0;6312.1411;4443.0239;3385.8669;1057.1570;6667.9004;3951.4045;2491.5261;1459.8784;5056.7065;0.9833
2023-11-15T00:00:00.0/2023-11-16T00:00:00.0;6270.8242;4482.9580;3468.2251;1014.7329;6959.8433;4162.6055;2841.8103;1320.7953;5980.8184;0.9837
2023-11-16T00:00:00.0/2023-11-17T00:00:00.0;6230.2534;4500.8188;3654.3354;846.4833;7440.2212;4500.8188;3654.3354;846.4833;7440.2212;0.9844
2023-11-17T00:00:00.0/2023-11-18T00:00:00.0;6190.5493;4397.6431;3327.0464;1070.5966;6718.8799;4397.6431;3327.0464;1070.5966;6718.8799;0.9795
2023-11-18T00:00:00.0/2023-11-19T00:00:00.0;6151.6348;4326.5366;3249.5400;1076.9966;6575.2515;4019.7078;2685.4126;1334.2954;5699.4429;0.9802
2023-11-19T00:00:00.0/2023-11-20T00:00:00.0;6113.6426;4093.1406;2719.4365;1373.7043;5232.1216;2290.5591;839.8528;1450.7063;1627.3997;0.9806
2023-11-20T00:00:00.0/2023-11-21T00:00:00.0;6076.5728;4390.7109;3375.7100;1015.0012;6960.2100;3570.7463;1973.6147;1597.1316;4354.8516;0.9806
2023-11-21T00:00:00.0/2023-11-22T00:00:00.0;6040.3452;4437.7549;3658.1587;779.5960;7706.2700;4437.7549;3658.1587;779.5960;7706.2700;0.9812
2023-11-22T00:00:00.0/2023-11-23T00:00:00.0;6005.0957;4352.5483;3603.4631;749.0851;7603.7554;2430.1973;960.1680;1470.0294;2254.5457;0.9816
2023-11-23T00:00:00.0/2023-11-24T00:00:00.0;5970.7935;4310.1963;3472.6331;837.5634;7308.8613;4310.1963;3472.6331;837.5634;7308.8613;0.9819
2023-11-24T00:00:00.0/2023-11-25T00:00:00.0;5937.4253;4345.5435;3525.8735;819.6700;7458.8472;4215.1660;3294.8467;920.3196;6880.8154;0.9774
2023-11-25T00:00:00.0/2023-11-26T00:00:00.0;5905.1045;4016.0569;2913.0930;1102.9637;5932.5098;2299.5178;356.5887;1942.9291;775.1320;0.9830
2023-11-26T00:00:00.0/2023-11-27T00:00:00.0;5873.8345;4185.2900;3161.5171;1023.7731;6428.3496;4185.2900;3161.5171;1023.7731;6428.3496;0.9830
2023-11-27T00:00:00.0/2023-11-28T00:00:00.0;5843.5718;4195.9448;3227.8069;968.1382;6764.2144;3499.9067;2111.3694;1388.5374;4540.8579;0.9833
2023-11-28T00:00:00.0/2023-11-29T00:00:00.0;5814.3618;4225.4292;3408.1243;817.3050;7308.9155;3086.9026;1038.0961;2048.8064;2177.5176;0.9837
2023-11-29T00:00:00.0/2023-11-30T00:00:00.0;5786.2231;4185.5771;3436.9119;748.6656;7445.9053;4185.5771;3436.9119;748.6656;7445.9053;0.9840
2023-11-30T00:00:00.0/2023-12-01T00:00:00.0;5759.1396;4199.7891;3441.7727;758.0165;7469.7764;4199.7891;3441.7727;758.0165;7469.7764;0.9844
2023-12-01T00:00:00.0/2023-12-02T00:00:00.0;5733.2461;4108.0596;3216.8186;891.2411;6931.2764;3864.2175;3013.8127;850.4048;6108.9990;0.9844
2023-12-02T00:00:00.0/2023-12-03T00:00:00.0;5708.4521;4017.9529;3022.9458;995.0072;6496.2524;3835.1528;2798.0435;1037.1093;5674.7119;0.9847
2023-12-03T00:00:00.0/2023-12-04T00:00:00.0;5684.7988;4033.9956;3053.9727;980.0228;6566.9648;3979.8525;2959.7917;1020.0608;6225.7251;0.9851
