timestamp,latitude,longitude,GHI,DNI,DHI
2024-11-19,3.0,32.0,3.76,-999.0,-999.0
2024-11-20,3.0,32.0,4.31,-999.0,-999.0
2024-11-21,3.0,32.0,3.43,-999.0,-999.0
2024-11-22,3.0,32.0,3.24,-999.0,-999.0
2024-11-23,3.0,32.0,3.65,-999.0,-999.0
2024-11-24,3.0,32.0,4.61,-999.0,-999.0
2024-11-25,3.0,32.0,3.53,-999.0,-999.0
2024-11-26,3.0,32.0,4.16,-999.0,-999.0
2024-11-27,3.0,32.0,3.46,-999.0,-999.0
2024-11-28,3.0,32.0,6.05,-999.0,-999.0
2024-11-29,3.0,32.0,5.75,-999.0,-999.0
2024-11-30,3.0,32.0,4.95,-999.0,-999.0
2024-12-01,3.0,32.0,5.39,-999.0,-999.0
2024-12-02,3.0,32.0,5.58,-999.0,-999.0
2024-12-03,3.0,32.0,5.93,-999.0,-999.0
2024-12-04,3.0,32.0,-999.0,-999.0,-999.0
2024-12-05,3.0,32.0,-999.0,-999.0,-999.0
2024-12-06,3.0,32.0,5.54,-999.0,-999.0
2024-12-07,3.0,32.0,5.94,-999.0,-999.0
2024-12-08,3.0,32.0,6.3,-999.0,-999.0
2024-12-09,3.0,32.0,5.77,-999.0,-999.0
2024-12-10,3.0,32.0,5.85,-999.0,-999.0
2024-12-11,3.0,32.0,5.8,-999.0,-999.0
2024-12-12,3.0,32.0,6.03,-999.0,-999.0
2024-12-13,3.0,32.0,5.97,-999.0,-999.0
2024-12-14,3.0,32.0,6.1,-999.0,-999.0
2024-12-15,3.0,32.0,6.29,-999.0,-999.0
2024-12-16,3.0,32.0,5.29,-999.0,-999.0
2024-12-17,3.0,32.0,5.86,-999.0,-999.0
2024-12-18,3.0,32.0,6.09,-999.0,-999.0
2024-12-19,3.0,32.0,5.99,-999.0,-999.0
2024-12-20,3.0,32.0,4.14,-999.0,-999.0
2024-12-21,3.0,32.0,5.58,-999.0,-999.0
2024-12-22,3.0,32.0,5.3,-999.0,-999.0
2024-12-23,3.0,32.0,4.98,-999.0,-999.0
2024-12-24,3.0,32.0,5.43,-999.0,-999.0
2024-12-25,3.0,32.0,5.82,-999.0,-999.0
2024-12-26,3.0,32.0,5.58,-999.0,-999.0
2024-12-27,3.0,32.0,5.27,-999.0,-999.0
2024-12-28,3.0,32.0,6.27,-999.0,-999.0
2024-12-29,3.0,32.0,6.26,-999.0,-999.0
2024-12-30,3.0,32.0,6.05,-999.0,-999.0
2024-12-31,3.0,32.0,4.77,-999.0,-999.0
2024-01-01,3.0,33.0,4.46,2.76,2.19
2024-01-02,3.0,33.0,5.32,3.86,2.3
2024-01-03,3.0,33.0,6.3,5.91,1.99
2024-01-04,3.0,33.0,6.48,7.2,1.59
2024-01-05,3.0,33.0,5.58,3.81,2.64
2024-01-06,3.0,33.0,6.45,6.11,2.15
2024-01-07,3.0,33.0,6.32,6.31,1.71
2024-01-08,3.0,33.0,6.42,6.0,1.94
2024-01-09,3.0,33.0,5.82,4.16,2.86
2024-01-10,3.0,33.0,5.46,4.19,2.59
2024-01-11,3.0,33.0,5.32,3.66,2.67
2024-01-12,3.0,33.0,5.62,3.71,2.78
2024-01-13,3.0,33.0,5.78,4.3,2.36
2024-01-14,3.0,33.0,5.15,3.08,2.57
2024-01-15,3.0,33.0,5.47,4.05,2.39
2024-01-16,3.0,33.0,6.75,5.91,2.34
