# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2021-02-25T00:00:00.0
# Date end (ISO 8601): 2024-11-26T00:00:00.0
# Latitude (positive North, ISO 19115): 5.6322
# Longitude (positive East, ISO 19115): -0.2351
# Altitude (m): 33.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 1 day 0 h 0 min 0 s
# noValue: nan
# File generated on: 2025-02-20
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2021-04-18T00:00:00.0/2021-04-19T00:00:00.0;10387.6172;7092.6621;4710.3403;2382.3215;6199.6489;6426.1855;3856.4373;2569.7483;4819.0005;0.9760
2021-04-19T00:00:00.0/2021-04-20T00:00:00.0;10379.3770;7074.5054;4604.0747;2470.4309;6015.6118;6351.6270;3220.4509;3131.1763;4157.8291;0.9812
2021-04-20T00:00:00.0/2021-04-21T00:00:00.0;10370.8096;6977.7803;4340.7886;2636.9919;5716.9946;6878.8877;4120.4946;2758.3928;5380.2153;0.9812
2021-04-21T00:00:00.0/2021-04-22T00:00:00.0;10361.9893;7036.5127;4527.6304;2508.8826;5958.5532;7015.5908;4476.2212;2539.3699;5892.0562;0.9861
2021-04-22T00:00:00.0/2021-04-23T00:00:00.0;10352.8457;6938.0566;4176.7930;2761.2637;5416.8550;5272.1699;1340.8710;3931.2988;2027.6008;0.9861
2021-04-23T00:00:00.0/2021-04-24T00:00:00.0;10343.4189;7023.0186;4419.9473;2603.0710;5839.1382;5991.6084;2237.5806;3754.0281;3105.5779;0.9861
2021-04-24T00:00:00.0/2021-04-25T00:00:00.0;10333.7793;7068.1919;4631.6152;2436.5769;6062.1680;6133.5825;2628.3433;3505.2393;3723.4551;0.9858
2021-04-25T00:00:00.0/2021-04-26T00:00:00.0;10323.8594;6908.3364;4162.1411;2746.1953;5403.7378;5365.2134;1591.5847;3773.6284;2193.2908;0.9858
2021-04-26T00:00:00.0/2021-04-27T00:00:00.0;10313.6992;6939.7808;4361.1816;2578.5994;5701.1333;6455.4873;3683.1873;2772.3000;4782.2178;0.9858
2021-04-27T00:00:00.0/2021-04-28T00:00:00.0;10303.3633;6964.0547;4520.1919;2443.8628;5931.1050;4975.9956;1428.2606;3547.7349;2034.5745;0.9854
2021-04-28T00:00:00.0/2021-04-29T00:00:00.0;10292.7979;6916.5576;4353.3105;2563.2468;5717.2764;5011.9160;1456.0143;3555.9016;2170.7036;0.9750
2021-04-29T00:00:00.0/2021-04-30T00:00:00.0;10282.0381;6938.1519;4475.5488;2462.6033;5941.5518;4511.4702;817.1145;3694.3560;1292.0569;0.9802
2021-04-30T00:00:00.0/2021-05-01T00:00:00.0;10271.0996;7031.5942;4728.2070;2303.3875;6280.3403;6974.6011;4559.0972;2415.5039;6087.2432;0.9854
2021-05-01T00:00:00.0/2021-05-02T00:00:00.0;10260.0537;6993.3242;4747.1709;2246.1536;6294.6904;6971.4180;4721.4854;2249.9326;6217.8257;0.9799
2021-05-02T00:00:00.0/2021-05-03T00:00:00.0;10248.8291;6945.1841;4657.8247;2287.3594;6102.8955;6791.3823;4421.3901;2369.9922;5604.8066;0.9851
2021-05-03T00:00:00.0/2021-05-04T00:00:00.0;10237.4727;7074.4902;5156.6299;1917.8606;6894.8955;5056.2773;1285.0397;3771.2375;1923.3386;0.9851
2021-05-04T00:00:00.0/2021-05-05T00:00:00.0;10226.0000;7062.6855;5238.8071;1823.8784;7045.3198;6548.5244;3935.5691;2612.9556;5147.9727;0.9851
2021-05-05T00:00:00.0/2021-05-06T00:00:00.0;10214.4277;7061.8667;5195.6665;1866.1997;6975.8740;5132.6089;1776.9791;3355.6299;2170.7146;0.9851
2021-05-06T00:00:00.0/2021-05-07T00:00:00.0;10202.8350;6905.6685;4687.2080;2218.4609;6205.4546;6271.4644;3670.0486;2601.4158;4447.0972;0.9847
2021-05-07T00:00:00.0/2021-05-08T00:00:00.0;10191.1279;6872.9609;4562.8789;2310.0815;6050.5928;5683.7290;1926.8802;3756.8486;2542.8811;0.9847
2021-05-08T00:00:00.0/2021-05-09T00:00:00.0;10179.3691;6894.1279;4638.9409;2255.1870;6222.6475;1622.8187;35.5009;1587.3177;93.9659;0.9847
2021-05-09T00:00:00.0/2021-05-10T00:00:00.0;10167.5723;6904.1748;4761.8276;2142.3472;6337.7046;5731.9033;2531.7927;3200.1104;3631.7026;0.9847
