Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2020-06-01,24.17,23.12,0.0,4.98,5.01,5.16,-0.47,-3.42,2.28,2.75,-20.32
2020-06-02,24.37,23.19,0.0,6.48,6.5,6.22,-0.39,3.95,2.08,2.64,-26.47
2020-06-03,24.3,22.65,0.0,6.41,6.43,6.19,-0.34,3.37,2.1,2.39,-13.93
2020-06-04,23.73,22.98,0.0,5.47,5.49,5.97,-0.39,-9.01,2.6,2.79,-7.37
2020-06-05,23.87,23.77,0.0,5.6,5.62,5.89,-0.35,-5.18,2.98,2.72,8.71
2020-06-06,23.83,22.65,0.0,5.42,5.44,5.72,-0.34,-5.47,2.58,2.57,0.48
2020-06-07,24.5,22.09,0.0,6.32,6.34,6.12,-0.31,3.17,2.19,2.37,-8.36
2020-06-08,22.01,23.45,0.6,3.34,3.36,2.62,-0.42,21.75,2.61,2.03,22.12
2020-06-09,23.83,20.58,2.2,5.86,5.88,5.47,-0.32,6.75,1.91,2.69,-40.76
2020-06-10,22.39,22.35,10.0,4.94,4.96,5.2,-0.33,-5.21,2.25,2.41,-7.04
2020-06-11,22.88,23.17,0.0,6.32,6.33,6.34,-0.15,-0.2,2.08,2.67,-28.52
2020-06-12,22.36,23.18,4.4,4.79,4.82,5.56,-0.56,-15.9,2.16,2.28,-5.47
2020-06-13,22.85,22.26,0.0,6.91,6.93,6.38,-0.21,7.66,2.02,2.14,-5.99
2020-06-14,23.44,21.67,0.0,5.42,5.44,5.9,-0.39,-8.84,2.3,2.66,-15.52
2020-06-15,21.75,21.43,0.0,3.29,3.31,3.51,-0.4,-6.62,2.47,2.43,1.64
2020-06-16,23.54,23.03,0.0,5.66,5.68,6.09,-0.36,-7.72,1.85,2.31,-24.63
2020-06-17,24.14,22.21,1.6,5.99,6.01,6.03,-0.36,-0.74,2.19,2.49,-13.75
2020-06-18,24.31,21.84,0.0,6.03,6.05,6.04,-0.36,-0.21,2.16,2.75,-27.52
2020-06-19,23.06,22.91,2.8,5.53,5.55,5.72,-0.38,-3.5,2.48,2.9,-17.03
2020-06-20,23.6,22.6,1.4,4.73,4.75,5.29,-0.38,-11.69,2.42,3.08,-27.54
2020-06-21,22.81,21.83,0.0,5.0,5.01,4.99,-0.27,0.31,2.61,2.31,11.27
2020-06-22,23.2,22.32,0.0,5.31,5.33,5.78,-0.38,-8.87,2.88,2.93,-2.01
2020-06-23,23.96,22.95,0.4,5.37,5.4,5.59,-0.42,-4.1,2.34,2.79,-18.9
2020-06-24,23.08,22.77,13.4,5.53,5.55,5.62,-0.42,-1.75,1.88,2.39,-27.35
2020-06-25,23.4,22.29,0.0,5.19,5.21,5.62,-0.41,-8.3,2.33,2.51,-7.83
2020-06-26,22.28,23.48,0.4,4.88,4.9,3.72,-0.35,23.8,2.48,2.28,7.98
2020-06-27,22.76,22.41,0.2,5.57,5.59,5.72,-0.42,-2.69,2.01,2.21,-9.62
2020-06-28,23.47,23.3,9.0,6.75,6.78,6.47,-0.42,4.1,2.04,2.11,-3.7
2020-06-29,24.02,22.73,0.0,6.2,6.23,6.39,-0.41,-3.02,1.96,2.2,-11.98
2020-06-30,24.69,22.48,0.0,6.2,6.22,6.54,-0.33,-5.43,2.21,2.34,-6.09
2020-07-01,23.63,23.0,0.2,5.23,5.25,4.96,-0.37,5.23,2.63,2.97,-13.22
2020-07-02,23.33,22.01,0.0,4.83,4.85,4.6,-0.45,4.72,2.66,2.79,-4.63
2020-07-03,24.34,22.98,0.0,5.71,5.74,6.1,-0.42,-6.81,2.01,2.47,-23.14
2020-07-04,25.2,22.94,0.0,6.29,6.31,6.25,-0.36,0.62,2.22,2.64,-18.88
2020-07-05,24.87,21.9,0.4,5.3,5.32,5.72,-0.38,-7.89,2.32,2.58,-11.02
2020-07-06,20.84,22.18,3.2,2.63,2.63,2.52,-0.12,4.35,2.29,2.03,11.02
2020-07-07,21.34,22.34,2.2,3.6,3.6,3.29,-0.11,8.38,2.49,2.32,6.79
2020-07-08,22.3,22.73,0.0,4.15,4.17,4.18,-0.39,-0.67,2.98,2.49,16.39
2020-07-09,23.3,23.44,0.0,4.57,4.59,4.85,-0.36,-6.15,3.47,2.6,25.12
2020-07-10,23.72,22.36,0.2,,,,,,1.55,1.74,-11.81
2020-07-11,21.69,20.93,0.0,4.18,4.19,4.28,-0.29,-2.37,2.27,2.43,-6.9
2020-07-12,23.35,21.95,0.0,5.83,5.86,6.3,-0.5,-8.09,1.78,2.14,-20.33
2020-07-13,21.84,23.13,1.4,4.66,4.67,4.82,-0.28,-3.44,1.97,2.07,-5.24
2020-07-14,21.37,22.54,20.8,4.57,4.58,4.24,-0.24,7.22,2.47,2.32,5.8
2020-07-15,22.41,23.38,1.8,5.44,5.46,5.34,-0.23,1.88,3.04,2.84,6.68
2020-07-16,21.23,21.33,0.0,3.2,3.21,2.84,-0.35,11.17,2.69,2.17,19.35
2020-07-17,20.89,21.15,0.0,2.87,2.89,2.74,-0.48,4.69,2.42,2.19,9.57
2020-07-18,21.64,22.16,0.4,3.8,3.81,3.4,-0.32,10.61,3.26,2.55,21.66
2020-07-19,22.67,21.38,0.0,5.95,5.97,6.36,-0.37,-6.89,2.48,2.4,3.03
2020-07-20,23.39,22.7,0.0,5.6,5.62,5.38,-0.29,4.0,2.5,2.49,0.42
2020-07-21,22.76,23.34,4.4,4.41,4.42,4.43,-0.38,-0.47,2.47,2.73,-10.47
2020-07-22,20.62,22.19,3.0,2.36,2.37,2.23,-0.35,5.77,2.11,1.86,11.95
2020-07-23,21.16,22.97,3.2,3.93,3.94,4.17,-0.32,-6.14,3.02,2.8,7.27
2020-07-24,21.92,22.08,0.4,4.69,4.71,4.81,-0.32,-2.49,3.09,3.19,-3.11
2020-07-25,22.55,22.48,0.0,5.62,5.64,5.39,-0.4,4.11,2.19,2.73,-24.64
2020-07-26,22.48,22.95,0.0,4.76,4.78,4.58,-0.34,3.84,2.55,2.81,-10.14
