Day,Temperature (C),Temperature (SAT) (C),Rain (mm),GHI_1 (kWh/m2/day),GHI_2 (kWh/m2/day),GHI_SAT (kWh/m2/day),GHI (1) vs (2) (%),GHI (1) vs (SAT) (%),DHI (1) (kWh/m2/day),DHI (SAT) (kWh/m2/day),DHI (1) vs (SAT) (%)
2021-05-04,23.72,22.69,13.4,6.41,6.44,6.64,-0.43,-3.54,2.92,2.13,27.27
2021-05-05,23.09,22.86,8.2,6.86,6.84,6.91,0.28,-0.75,1.24,2.02,-62.65
2021-05-06,22.21,23.23,13.4,6.11,6.14,5.96,-0.38,2.56,2.82,2.37,16.07
2021-05-07,22.23,22.82,20.4,5.09,5.11,5.83,-0.29,-14.55,2.94,2.49,15.34
2021-05-08,21.17,22.57,8.2,3.37,3.38,3.44,-0.39,-2.23,2.42,1.9,21.31
2021-05-09,21.2,21.73,0.0,3.67,3.68,3.68,-0.31,-0.15,2.84,2.64,6.79
2021-05-10,20.3,20.96,0.2,3.53,3.55,2.98,-0.55,15.64,3.04,2.28,24.92
2021-05-11,21.42,22.98,0.0,4.35,4.37,4.23,-0.45,2.69,3.3,2.69,18.7
2021-05-12,21.61,23.39,0.8,4.56,4.58,5.01,-0.47,-9.86,3.31,3.0,9.18
2021-05-13,23.84,23.07,0.0,5.86,5.89,6.25,-0.39,-6.66,2.02,2.38,-17.66
2021-05-14,25.01,23.96,0.0,6.96,6.98,6.75,-0.32,3.0,1.79,1.96,-9.66
2021-05-15,24.08,23.96,0.0,6.77,6.8,6.3,-0.37,7.01,2.06,2.65,-28.99
2021-05-16,24.94,24.24,0.0,6.2,6.22,6.64,-0.43,-7.11,2.04,2.3,-13.05
2021-05-17,25.52,25.06,0.0,6.56,6.58,6.75,-0.33,-2.83,1.66,2.11,-27.02
2021-05-18,25.09,24.29,0.2,5.0,5.03,6.11,-0.46,-22.06,2.44,2.75,-12.61
2021-05-19,23.3,24.52,0.0,4.96,4.96,5.73,-0.18,-15.52,3.09,3.07,0.66
2021-05-20,24.4,24.0,0.0,5.15,5.16,5.89,-0.22,-14.38,2.79,2.94,-5.21
2021-05-21,25.52,24.48,0.0,5.76,5.78,6.03,-0.33,-4.67,2.07,2.69,-29.63
2021-05-22,25.6,25.04,0.0,5.99,6.02,5.92,-0.48,1.14,2.23,2.94,-32.2
2021-05-23,24.84,23.58,0.2,6.27,6.3,5.78,-0.4,7.93,2.26,2.69,-18.91
2021-05-24,23.19,23.43,27.2,6.2,6.22,6.32,-0.3,-1.94,2.3,2.15,6.33
2021-05-25,23.54,23.13,0.0,6.83,6.86,6.9,-0.42,-0.99,1.49,1.88,-26.12
2021-05-26,24.36,23.94,0.0,6.72,6.74,6.34,-0.37,5.64,1.98,2.57,-29.4
2021-05-27,24.35,24.1,0.0,6.24,6.26,6.6,-0.46,-5.77,1.81,2.35,-30.22
2021-05-28,24.75,24.88,0.0,7.16,7.19,7.03,-0.37,1.87,1.1,1.92,-73.94
2021-05-29,24.35,25.2,0.0,5.97,6.0,5.85,-0.38,2.04,1.96,2.49,-27.16
2021-05-30,25.06,24.83,0.0,7.18,7.2,6.89,-0.36,3.93,1.35,1.75,-29.93
2021-05-31,25.52,24.14,0.0,7.1,7.13,6.95,-0.41,2.13,1.33,1.62,-21.66
2021-06-01,24.67,23.37,0.0,6.87,6.9,6.49,-0.38,5.64,1.99,2.26,-13.68
2021-06-02,24.58,24.54,0.0,6.01,6.04,5.99,-0.42,0.39,2.14,2.67,-24.77
2021-06-03,24.19,24.06,0.0,5.66,5.68,5.43,-0.38,4.05,2.86,2.9,-1.41
2021-06-04,24.72,23.7,0.0,5.48,5.51,5.28,-0.41,3.76,2.86,3.12,-9.01
2021-06-05,24.88,24.52,0.0,6.88,6.91,6.33,-0.55,8.03,1.65,2.26,-36.91
2021-06-06,24.28,24.35,1.0,6.25,6.28,6.36,-0.53,-1.86,1.61,2.36,-47.08
2021-06-07,24.43,24.54,0.0,7.15,7.18,6.93,-0.37,3.09,1.07,1.63,-52.18
2021-06-08,24.74,24.47,0.0,5.16,5.17,6.04,-0.25,-17.11,1.93,2.53,-30.95
2021-06-09,24.9,25.04,0.0,6.9,6.93,6.6,-0.34,4.45,1.6,2.03,-26.78
2021-06-10,24.66,25.66,0.0,5.97,5.99,6.54,-0.39,-9.64,1.78,2.17,-21.49
2021-06-11,24.46,24.49,0.0,6.05,6.07,5.68,-0.37,6.08,2.21,2.63,-19.04
2021-06-12,24.76,24.26,0.0,5.74,5.76,5.91,-0.38,-2.91,2.26,2.89,-27.9
2021-06-13,24.82,24.85,0.0,5.84,5.86,5.78,-0.37,0.97,2.05,2.87,-40.1
2021-06-14,24.78,24.7,0.0,6.06,6.09,5.67,-0.37,6.44,2.45,3.04,-23.79
2021-06-15,22.98,23.94,17.4,5.92,5.94,5.28,-0.36,10.87,2.83,3.28,-15.9
2021-06-16,22.16,24.09,8.8,5.31,5.33,5.25,-0.36,1.18,3.24,3.16,2.48
2021-06-17,23.18,24.81,0.0,6.21,6.23,5.69,-0.35,8.31,3.03,3.11,-2.5
2021-06-18,22.77,22.96,0.0,5.07,5.09,4.98,-0.39,1.76,2.77,3.13,-12.65
2021-06-19,22.11,23.37,0.0,4.84,4.86,5.15,-0.34,-6.43,3.13,2.77,11.46
2021-06-20,23.55,24.33,0.0,6.26,6.29,5.84,-0.38,6.8,2.16,2.92,-34.89
2021-06-21,23.87,23.03,3.2,6.68,6.7,6.19,-0.29,7.3,2.07,2.74,-32.65
2021-06-22,23.77,23.67,0.0,6.62,6.64,6.4,-0.27,3.41,1.9,2.53,-33.39
2021-06-23,23.79,23.13,0.0,6.22,6.22,6.01,-0.01,3.32,1.96,2.34,-19.46
2021-06-24,24.12,23.42,0.0,6.77,6.81,6.5,-0.62,4.03,1.71,2.32,-35.94
2021-06-25,24.49,24.64,0.0,6.51,6.54,6.17,-0.43,5.29,2.0,2.33,-16.06
2021-06-26,24.76,25.06,0.0,6.12,6.15,6.31,-0.43,-3.02,1.74,2.49,-43.34
2021-06-27,25.24,25.3,0.0,6.8,6.82,6.69,-0.38,1.61,1.57,2.06,-31.82
2021-06-28,25.05,24.27,0.0,6.87,6.89,6.5,-0.36,5.41,1.78,2.29,-28.6
2021-06-29,23.65,23.92,0.0,5.87,5.89,5.69,-0.39,3.11,2.27,2.86,-25.66
2021-06-30,21.76,22.13,0.0,4.25,4.27,3.78,-0.43,11.17,2.38,2.57,-7.98
2021-07-01,23.88,24.82,0.0,6.25,6.28,5.78,-0.47,7.55,1.93,2.77,-43.48
2021-07-02,23.42,23.95,1.4,4.94,4.95,4.37,-0.34,11.48,1.98,2.02,-1.96
2021-07-03,23.64,24.33,0.0,6.77,6.79,6.59,-0.27,2.7,1.71,2.12,-24.32
2021-07-04,24.93,25.48,0.0,5.9,5.92,6.31,-0.4,-6.95,2.01,2.49,-23.88
2021-07-05,24.55,23.08,0.0,5.21,5.23,5.58,-0.39,-7.07,2.42,2.8,-16.0
2021-07-06,22.04,23.25,27.6,4.98,5.0,4.74,-0.36,4.86,2.72,3.01,-10.58
2021-07-07,21.73,24.27,0.0,4.28,4.29,4.42,-0.34,-3.43,2.36,2.96,-25.07
2021-07-08,21.56,22.92,8.2,4.03,4.04,4.2,-0.3,-4.14,2.51,2.64,-4.93
2021-07-09,21.88,22.99,0.2,5.0,5.02,5.27,-0.41,-5.36,3.35,3.2,4.53
2021-07-10,21.83,23.13,0.0,3.97,3.98,4.22,-0.3,-6.22,2.71,2.55,6.13
2021-07-11,22.23,23.71,0.0,4.55,4.57,4.88,-0.38,-7.21,2.56,2.82,-10.14
2021-07-12,21.64,24.0,0.0,3.54,3.56,3.03,-0.46,14.51,2.91,2.4,17.66
2021-07-13,22.4,23.91,0.2,4.38,4.39,3.83,-0.37,12.61,3.59,2.69,25.15
2021-07-14,21.95,23.65,11.0,5.49,5.51,5.33,-0.34,2.97,2.37,2.66,-12.29
2021-07-15,21.75,22.55,22.8,4.61,4.63,5.05,-0.33,-9.44,3.44,2.9,15.66
2021-07-16,21.57,21.71,3.0,4.07,4.09,4.07,-0.36,0.14,2.86,2.34,17.94
2021-07-17,22.96,23.83,0.0,5.65,5.68,6.12,-0.44,-8.18,2.55,2.4,5.75
2021-07-18,22.74,23.35,0.0,4.75,4.77,4.98,-0.28,-4.69,2.54,2.47,2.99
2021-07-19,23.78,23.55,0.0,6.03,6.05,6.26,-0.35,-3.84,2.46,2.59,-4.99
2021-07-20,22.53,23.7,0.0,5.21,5.23,4.82,-0.27,7.52,3.25,2.68,17.42
2021-07-21,24.02,24.19,0.0,6.14,6.16,6.17,-0.29,-0.46,2.18,2.36,-8.13
2021-07-22,24.2,24.0,0.0,6.1,6.15,6.57,-0.66,-7.63,1.92,2.49,-29.86
2021-07-23,24.51,23.88,0.0,6.69,6.71,6.95,-0.36,-3.9,1.44,2.08,-44.35
2021-07-24,21.8,22.59,0.2,3.19,3.2,2.79,-0.27,12.6,2.25,1.81,19.71
2021-07-25,23.01,24.15,0.2,4.81,4.84,5.13,-0.64,-6.75,2.56,2.32,9.56
2021-07-26,23.03,22.95,0.0,4.94,4.94,5.0,-0.11,-1.35,2.25,2.25,-0.12
2021-07-27,23.2,23.08,0.0,4.66,4.67,4.49,-0.22,3.55,3.6,3.06,15.02
2021-07-28,22.61,21.94,0.0,4.55,4.56,3.97,-0.3,12.82,2.55,2.43,4.43
2021-07-29,22.53,23.97,1.0,4.56,4.57,4.47,-0.33,1.96,3.23,3.06,5.55
2021-07-30,24.01,24.06,0.0,6.15,6.18,5.52,-0.37,10.23,2.61,3.15,-20.83
2021-07-31,24.34,24.65,0.0,6.4,6.42,6.34,-0.36,0.94,2.34,3.05,-30.24
2021-08-01,23.62,22.5,0.0,5.28,5.29,5.2,-0.25,1.5,2.03,2.62,-28.95
2021-08-02,21.99,22.11,0.0,4.12,4.14,3.2,-0.34,22.53,3.17,1.89,40.36
2021-08-03,24.06,24.45,1.2,6.72,6.74,6.89,-0.34,-2.46,1.47,1.76,-19.43
2021-08-04,25.32,24.92,0.0,6.67,6.68,6.75,-0.23,-1.28,1.49,1.91,-27.86
2021-08-05,25.49,25.73,0.0,7.2,7.23,7.02,-0.32,2.61,1.54,1.81,-17.11
2021-08-06,24.92,24.62,0.0,6.5,6.52,6.39,-0.29,1.8,2.28,2.31,-1.13
2021-08-07,25.37,24.82,0.0,5.93,5.96,6.54,-0.42,-10.14,2.21,2.6,-17.83
2021-08-08,23.74,24.69,1.2,5.42,5.44,5.45,-0.3,-0.46,2.77,2.83,-2.16
2021-08-09,21.67,25.22,7.6,3.04,3.05,3.85,-0.32,-26.65,2.17,2.71,-25.07
2021-08-10,21.94,22.88,25.6,6.07,6.09,5.83,-0.32,3.92,2.22,2.17,2.29
2021-08-11,23.32,23.75,3.2,6.74,6.78,6.7,-0.56,0.61,2.0,2.27,-13.9
2021-08-12,23.42,24.34,14.8,7.08,7.11,6.73,-0.42,4.89,1.75,2.4,-36.61
2021-08-13,24.25,24.35,17.0,7.2,7.22,7.06,-0.37,1.85,1.48,2.12,-43.47
2021-08-14,21.72,23.53,5.2,6.17,6.19,6.31,-0.34,-2.27,3.11,2.49,19.95
2021-08-15,21.47,23.25,4.6,5.35,5.37,5.24,-0.37,1.96,2.78,2.17,21.95
2021-08-16,23.44,23.78,0.0,6.43,6.44,6.17,-0.16,4.06,2.12,2.61,-23.04
2021-08-17,23.94,23.56,0.4,7.2,7.22,6.89,-0.24,4.41,1.6,2.38,-48.4
2021-08-18,24.51,22.95,0.0,7.42,7.44,7.16,-0.34,3.42,1.56,2.09,-34.02
2021-08-19,23.85,23.93,0.0,6.62,6.64,6.35,-0.34,4.17,2.23,2.58,-16.12
2021-08-20,22.24,24.55,19.0,6.1,6.12,5.91,-0.25,3.06,2.36,2.46,-4.15
2021-08-21,22.53,24.25,6.8,7.36,7.39,7.01,-0.35,4.74,2.03,2.19,-7.74
2021-08-22,22.12,23.42,4.4,6.13,6.13,6.16,-0.05,-0.56,2.0,1.9,4.86
2021-08-23,23.44,24.75,0.0,6.92,6.95,7.16,-0.5,-3.51,1.68,1.97,-16.96
2021-08-24,22.86,23.6,20.2,6.68,6.7,6.49,-0.32,2.84,1.62,1.55,4.34
2021-08-25,23.48,24.65,0.0,7.3,7.33,7.41,-0.43,-1.44,2.17,1.56,28.46
2021-08-26,24.15,24.57,0.2,7.72,7.75,7.51,-0.37,2.72,1.12,1.2,-6.46
2021-08-27,24.46,25.19,0.0,7.49,7.51,7.5,-0.31,-0.05,1.25,1.35,-7.46
2021-08-28,24.81,25.57,0.0,6.89,6.96,7.31,-1.01,-5.98,1.65,1.81,-9.65
2021-08-29,24.23,24.62,0.0,6.14,6.16,6.59,-0.34,-7.37,2.59,2.54,1.88
2021-08-30,23.8,23.48,0.0,6.09,6.11,6.64,-0.28,-8.98,2.56,2.95,-15.24
2021-08-31,24.59,24.31,1.0,6.6,6.62,6.79,-0.33,-2.9,2.02,2.99,-47.99
2021-09-01,21.21,23.3,2.0,2.88,2.89,2.47,-0.39,14.33,2.43,2.09,13.95
2021-09-02,23.72,22.6,2.0,7.07,7.09,6.62,-0.33,6.34,1.71,2.61,-52.9
2021-09-03,22.13,23.15,4.8,5.49,5.51,5.11,-0.36,6.9,3.02,2.62,13.48
2021-09-04,23.22,23.94,0.8,6.33,6.35,6.14,-0.22,3.0,2.15,2.71,-26.15
2021-09-05,22.79,23.18,20.8,5.93,5.95,5.73,-0.37,3.39,2.67,3.16,-18.09
2021-09-06,22.91,23.6,0.4,7.28,7.3,6.32,-0.34,13.24,2.74,2.63,3.95
2021-09-07,24.51,24.35,0.0,7.33,7.35,7.26,-0.18,0.96,1.38,2.02,-46.53
2021-09-08,21.78,23.6,30.8,5.77,5.79,6.42,-0.42,-11.42,2.27,2.24,1.31
