datetime,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2016-04-08 06:00:00,0.0,3.353,0.0,0.0,0.0,0.029272222222222224
2016-04-08 07:00:00,0.0,4.024,0.6298333333333334,0.6054166666666667,0.6131666666666666,0.6810555555555555
2016-04-08 08:00:00,0.0,3.353,30.50277777777778,26.932222222222226,28.84722222222222,28.800000000000004
2016-04-08 09:00:00,0.0,12.55,146.475,127.0,137.27222222222224,134.84444444444446
2016-04-08 10:00:00,0.7,150.5,414.86111111111114,360.69444444444446,394.6666666666667,381.75
2016-04-08 11:00:00,1.0,489.5,747.0555555555557,629.7777777777777,705.7777777777778,671.6944444444445
2016-04-08 12:00:00,1.0,581.4,878.2777777777778,744.5833333333334,832.25,796.7777777777778
2016-04-08 13:00:00,1.0,666.0,1002.0555555555557,834.6111111111111,935.7777777777778,903.4722222222223
2016-04-08 14:00:00,1.0,447.1,873.5,714.9166666666666,791.6944444444445,778.0555555555555
2016-04-08 15:00:00,0.716,491.4,770.3888888888889,629.5555555555557,693.5833333333334,689.7222222222223
2016-04-08 16:00:00,1.0,590.2,660.1111111111112,516.1944444444445,575.8333333333334,573.5833333333334
2016-04-08 17:00:00,1.0,642.5,499.80555555555554,374.02777777777777,416.3333333333333,422.94444444444446
2016-04-08 18:00:00,0.983,447.3,277.2027777777778,194.58333333333334,219.8166666666667,221.86944444444447
2016-04-08 19:00:00,0.217,80.1,64.98055555555555,41.22222222222223,44.53611111111112,44.94722222222222
2016-04-08 20:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-08 21:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-08 22:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-08 23:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 00:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 01:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 02:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 03:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 04:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 05:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 06:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 07:00:00,0.0,3.353,1.6429444444444445,1.572638888888889,1.7305555555555558,1.461638888888889
2016-04-09 08:00:00,0.0,3.353,42.238888888888894,40.25277777777778,41.53333333333334,40.69166666666667
2016-04-09 09:00:00,0.0,4.577,43.902777777777786,37.16111111111111,40.13333333333333,38.897222222222226
2016-04-09 10:00:00,0.0,22.84,123.30833333333335,107.69722222222222,117.15833333333333,112.25833333333334
2016-04-09 11:00:00,0.583,209.7,554.9444444444445,479.52777777777777,524.2777777777778,503.3055555555556
2016-04-09 12:00:00,1.0,686.7,946.6666666666667,800.7222222222223,897.6388888888889,855.1666666666666
2016-04-09 13:00:00,0.933,648.1,1024.5833333333335,862.6944444444445,962.1666666666667,930.0833333333334
2016-04-09 14:00:00,1.0,677.2,1001.3333333333335,831.8055555555555,912.0555555555557,902.7222222222223
2016-04-09 15:00:00,1.0,739.0,918.3611111111111,752.9166666666667,826.3055555555555,826.1388888888889
2016-04-09 16:00:00,1.0,751.0,769.6666666666667,603.9444444444445,673.5555555555557,672.5833333333334
2016-04-09 17:00:00,1.0,665.1,494.25,367.08333333333337,410.6388888888889,416.6388888888889
2016-04-09 18:00:00,1.0,524.4,260.18055555555554,169.38055555555556,196.1027777777778,198.8416666666667
2016-04-09 19:00:00,0.2,82.5,49.44722222222222,25.92,28.197222222222226,29.005555555555556
2016-04-09 20:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 21:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 22:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-09 23:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 00:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 01:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 02:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 03:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 04:00:00,0.0,3.353,0.0,0.0,0.0,0.0
2016-04-10 05:00:00,0.0,3.353,0.0,0.0,0.0,0.0
