datetime,corrupt,SUN,BHI (W/m2),GHI (W/m2),GTI_30 (W/m2),GTI_15 (W/m2),GTI_22.5 (W/m2)
2018-05-28,4841.0,4.332,71.2,4102.777777777778,3077.222222222222,3633.0555555555557,3471.1111111111113
2018-05-29,4841.0,7.71,297.9,6060.277777777778,4007.777777777778,4991.388888888889,4785.277777777778
2018-05-30,4841.0,8.95,213.2,6380.555555555556,4116.666666666667,5219.444444444444,4963.333333333334
2018-05-31,4841.0,7.18,149.3,5542.777777777778,3749.166666666667,4609.444444444444,4398.333333333334
2018-06-01,4841.0,0.317,24.91,142.7638888888889,64.03333333333335,83.00277777777778,76.88055555555556
2018-06-02,4841.0,7.26,158.9,5705.0,3871.666666666667,4764.166666666667,4505.555555555556
2018-06-03,4841.0,4.765,97.6,3918.3333333333335,2813.888888888889,3391.666666666667,3224.722222222222
2018-06-04,4841.0,3.732,81.4,3980.8333333333335,2840.277777777778,3389.166666666667,3228.0555555555557
2018-06-05,4841.0,0.25,9.15,1318.111111111111,1107.5,1223.75,1185.7222222222224
2018-06-06,4841.0,0.017,4.384,1849.5555555555554,1571.5277777777778,1728.6666666666667,1680.888888888889
2018-06-07,4841.0,1.683,36.82,3071.1111111111113,2332.3055555555557,2687.0833333333335,2570.5
2018-06-08,4841.0,1.749,31.33,3002.222222222222,2355.5833333333335,2693.1111111111113,2585.6944444444443
2018-06-09,4841.0,4.398,71.7,4311.111111111111,3100.8333333333335,3667.5,3528.0555555555557
2018-06-10,4841.0,5.681,119.3,4417.5,2920.277777777778,3603.6111111111113,3464.444444444445
2018-06-11,4841.0,8.25,174.9,5858.333333333334,3827.777777777778,4806.111111111111,4550.555555555556
2018-06-13,4841.0,5.331,142.2,4534.722222222223,3147.222222222222,3788.6111111111113,3656.666666666667
2018-06-14,4841.0,6.231,119.5,4892.777777777778,3269.444444444445,4010.277777777778,3865.0
2018-06-15,4841.0,5.181,109.8,4961.388888888889,3367.777777777778,4093.6111111111113,3978.0555555555557
2018-06-16,4841.0,6.747,147.3,5390.0,3575.0,4455.0,4226.944444444444
2018-06-17,4841.0,8.4,184.3,5892.222222222223,3744.166666666667,4754.444444444444,4515.833333333334
2018-06-18,4841.0,7.05,120.6,4935.555555555556,3312.777777777778,4095.8333333333335,3889.444444444445
2018-06-19,4841.0,4.815,91.0,4501.944444444444,3226.388888888889,3881.1111111111113,3712.222222222222
2018-06-20,4841.0,4.948,169.9,4617.222222222223,3281.1111111111113,3932.777777777778,3789.444444444445
2018-06-21,4841.0,0.666,18.89,2714.25,2153.3055555555557,2447.1944444444443,2380.972222222222
2018-06-22,4841.0,4.432,86.3,4126.944444444444,3032.5,3613.888888888889,3474.444444444445
2018-06-23,4841.0,0.183,16.34,2818.888888888889,2275.027777777778,2567.1666666666665,2533.472222222222
2018-06-24,4841.0,4.715,102.1,3794.722222222222,2633.8611111111113,3198.6111111111113,3057.5
2018-06-25,4841.0,6.564,125.7,4761.944444444444,3262.222222222222,4009.7222222222226,3843.6111111111113
2018-06-26,4841.0,6.614,196.6,5461.666666666667,3986.944444444445,4769.722222222223,4655.277777777778
2018-06-27,4841.0,2.449,51.78,2556.5555555555557,1896.6111111111113,2216.6111111111113,2133.6111111111113
2018-06-28,4841.0,4.265,80.0,4190.0,2990.8333333333335,3545.0,3485.8333333333335
2018-06-29,4841.0,5.564,110.1,4291.944444444444,2988.3333333333335,3577.5,3478.0555555555557
2020-10-09,4841.0,5.998,127.8,4220.0,3994.166666666667,4133.333333333334,4138.611111111111
2020-10-10,4841.0,6.797,155.1,5630.0,5436.666666666667,5614.722222222223,5532.5
2020-10-11,4841.0,4.432,114.6,4005.5555555555557,3720.0,3841.388888888889,3877.5
2020-10-12,4841.0,7.15,157.8,5099.444444444444,4950.833333333334,5087.5,4991.666666666667
2020-10-13,4841.0,1.949,30.78,2619.8333333333335,2482.1666666666665,2573.833333333333,2552.0000000000005
2020-10-14,4841.0,2.332,50.0,3112.777777777778,2925.277777777778,3024.722222222222,3022.777777777778
2020-10-15,4841.0,6.347,135.8,4949.166666666667,4663.611111111111,4824.444444444444,4816.388888888889
2020-10-16,4841.0,8.05,149.1,5327.777777777778,5191.111111111111,5262.222222222223,5296.388888888889
2020-10-17,4841.0,4.415,112.7,3346.1111111111113,3400.0,3462.777777777778,3393.888888888889
2020-10-18,4841.0,2.616,48.2,3097.777777777778,2923.888888888889,3022.777777777778,2986.388888888889
2020-10-19,4841.0,2.816,68.16,4039.166666666667,3838.6111111111113,3913.6111111111113,3867.777777777778
2020-10-20,4841.0,4.032,92.5,3498.0555555555557,3445.8333333333335,3544.722222222222,3467.5
2020-10-21,4841.0,4.831,99.5,4966.666666666667,4699.444444444444,4842.5,4769.722222222223
2020-10-22,4841.0,6.214,179.2,5871.666666666667,5685.833333333334,5806.944444444444,5790.555555555556
2020-10-23,4841.0,1.316,31.74,2863.3333333333335,2664.0555555555557,2743.0833333333335,2721.166666666667
2020-10-24,4841.0,2.266,61.52,3584.444444444445,3413.3333333333335,3505.5555555555557,3465.5555555555557
2020-10-25,4841.0,6.048,154.6,4964.444444444444,5040.0,5045.0,4841.388888888889
2020-10-26,4841.0,7.2,183.7,5638.888888888889,5719.722222222223,5728.055555555556,5555.0
2020-10-27,4841.0,3.982,94.5,4225.833333333334,4141.388888888889,4185.833333333334,4090.277777777778
2020-10-28,4841.0,0.816,19.32,3140.5555555555557,2900.8333333333335,3008.888888888889,2968.6111111111113
2020-10-29,4841.0,3.232,84.7,2990.5555555555557,3047.777777777778,3017.777777777778,2917.222222222222
2020-10-30,4841.0,1.766,30.88,2927.222222222222,2753.8055555555557,2820.8333333333335,2808.0555555555557
2020-10-31,4841.0,5.131,133.2,4021.388888888889,3878.3333333333335,3898.888888888889,3984.166666666667
2020-11-01,4841.0,5.065,110.1,5329.722222222223,5323.055555555556,5315.277777777778,5329.166666666667
2020-11-02,4841.0,5.048,131.2,5233.888888888889,5278.055555555556,5265.0,5234.444444444444
2020-11-03,4841.0,10.05,267.2,6858.88888888889,7070.833333333334,6960.833333333334,6998.055555555556
2020-11-04,4841.0,9.3,250.9,6783.611111111111,7010.0,6899.722222222223,6958.88888888889
2020-11-05,4841.0,7.83,172.4,5895.0,5995.277777777778,5928.055555555556,5920.555555555556
2020-11-06,4841.0,7.66,189.3,5593.888888888889,5673.888888888889,5601.111111111111,5726.944444444444
2020-11-07,4841.0,1.233,23.9,2951.944444444445,2703.0555555555557,2787.777777777778,2807.777777777778
2020-11-08,4841.0,2.899,50.33,3338.3333333333335,3148.6111111111113,3198.0555555555557,3216.388888888889
2020-11-09,4841.0,8.25,155.9,5421.111111111111,5536.388888888889,5495.833333333334,5459.722222222223
2020-11-10,4841.0,4.098,97.5,4443.611111111111,4465.0,4420.555555555556,4429.722222222223
2020-11-11,4841.0,3.782,100.5,4620.277777777778,4655.0,4610.0,4666.944444444444
2020-11-12,4841.0,3.798,99.1,3345.277777777778,3305.0,3250.0,3314.722222222222
2020-11-13,4841.0,6.414,141.1,4765.833333333334,4997.222222222223,4877.777777777778,4850.277777777778
2020-11-14,4841.0,5.348,89.8,4719.444444444444,4571.111111111111,4575.555555555556,4625.833333333334
2020-11-15,4841.0,3.332,69.59,4005.0,3834.722222222222,3857.222222222222,3931.388888888889
2020-11-16,4841.0,4.548,85.4,4212.222222222223,4217.222222222223,4181.944444444444,4208.333333333334
2020-11-17,4841.0,4.365,98.4,3587.777777777778,3594.444444444445,3535.0,3596.1111111111113
2020-11-18,4841.0,5.031,126.6,4540.833333333334,4748.611111111111,4663.055555555556,4640.833333333334
2020-11-19,4841.0,1.316,25.91,2697.138888888889,2504.027777777778,2572.472222222222,2570.527777777778
2020-11-20,4841.0,3.082,69.01,3509.166666666667,3555.8333333333335,3553.3333333333335,3560.0
2020-11-21,4841.0,5.998,124.8,3487.222222222222,3653.6111111111113,3576.944444444445,3558.888888888889
2020-11-22,4841.0,2.499,45.31,2925.5555555555557,2796.1111111111113,2827.5,2837.222222222222
2020-11-23,4841.0,5.764,133.1,4210.555555555556,4361.388888888889,4270.833333333334,4292.5
2020-11-24,4841.0,7.96,204.9,5869.722222222223,6158.611111111111,6010.555555555556,6091.666666666667
2020-11-25,4841.0,2.532,52.97,3790.0,3735.5555555555557,3775.5555555555557,3761.944444444445
2020-11-26,4841.0,3.382,90.3,2916.1111111111113,2883.888888888889,2850.0,2936.388888888889
2020-11-27,4841.0,4.815,120.6,3700.277777777778,4011.944444444445,3925.8333333333335,3860.277777777778
2020-11-28,4841.0,6.181,158.2,5235.277777777778,5508.611111111111,5443.055555555556,5400.555555555556
2020-11-29,4841.0,4.082,98.8,4205.555555555556,4306.666666666667,4285.0,4271.111111111111
2020-11-30,4841.0,2.816,61.5,3343.6111111111113,3349.166666666667,3356.666666666667,3365.8333333333335
2020-12-01,4841.0,4.165,109.2,4166.666666666667,4405.0,4315.833333333334,4377.777777777778
2020-12-02,4841.0,7.35,197.2,5544.722222222223,6026.944444444444,5820.833333333334,5850.0
2020-12-03,4841.0,1.066,18.37,3276.666666666667,3025.0,3138.0555555555557,3111.1111111111113
